id,district,type,bedrooms,bathrooms,created_at,size_m2,price_$,latitude,longitude
123,Jbeil,Land,0,0,2025-03-16 14:47:30.119589+00,3950,395000,34.1236,35.6455
124,Jbeil,Apartment,3,3,2025-03-16 14:47:30.212199+00,260,250000,34.1236,35.6455
125,Kesrouane,Apartment,3,3,2025-03-16 14:47:30.313056+00,150,135000,33.9808,35.6856
126,Jbeil,Apartment,3,4,2025-03-16 14:47:30.410067+00,160,215000,34.1236,35.6455
127,Jbeil,Shop,1,0,2025-03-16 14:47:30.517634+00,110,300000,34.1236,35.6455
128,Baabda,Apartment,3,4,2025-03-16 14:47:30.617741+00,240,400000,33.8333,35.5442
129,Jbeil,Apartment,3,3,2025-03-16 14:47:30.708752+00,200,200000,34.1236,35.6455
130,El Metn,Apartment,3,3,2025-03-16 14:47:30.81078+00,160,230000,33.9006,35.6178
131,El Metn,Apartment,3,3,2025-03-16 14:47:30.900439+00,250,350000,33.9006,35.6178
132,Jbeil,Apartment,3,3,2025-03-16 14:47:30.991911+00,232,300000,34.1236,35.6455
133,Kesrouane,Apartment,2,2,2025-03-16 14:47:31.083168+00,100,120000,33.9808,35.6856
134,Jbeil,Apartment,3,2,2025-03-16 14:47:31.182037+00,124,120000,34.1236,35.6455
135,Kesrouane,Land,0,0,2025-03-16 14:47:31.273489+00,1202,85000,33.9808,35.6856
136,Kesrouane,Land,0,0,2025-03-16 14:47:31.421039+00,30617,2200000,33.9808,35.6856
137,Kesrouane,Land,0,0,2025-03-16 14:47:31.511091+00,4239,300000,33.9808,35.6856
138,Kesrouane,Land,0,0,2025-03-16 14:47:31.612254+00,14717,1030000,33.9808,35.6856
139,Beirut,Shop,2,0,2025-03-16 14:47:31.710911+00,290,650000,33.8886,35.4955
140,Jbeil,Apartment,3,3,2025-03-16 14:47:31.79542+00,175,150000,34.1236,35.6455
141,Jbeil,Apartment,2,2,2025-03-16 14:47:31.895438+00,135,135000,34.1236,35.6455
142,Jbeil,Apartment,3,3,2025-03-16 14:47:31.985771+00,170,190000,34.1236,35.6455
143,Baabda,Apartment,3,5,2025-03-16 14:47:32.088383+00,470,1250000,33.8333,35.5442
144,Beirut,Apartment,2,2,2025-03-16 14:47:32.184949+00,80,165000,33.8886,35.4955
145,El Metn,Apartment,2,2,2025-03-16 14:47:32.274074+00,125,125000,33.9006,35.6178
146,Beirut,Residential Building,0,0,2025-03-16 14:47:32.38063+00,126,550000,33.8886,35.4955
147,El Metn,Apartment,3,3,2025-03-16 14:47:32.482397+00,155,225000,33.9006,35.6178
148,El Metn,Apartment,2,2,2025-03-16 14:47:32.679537+00,135,165000,33.9006,35.6178
149,El Metn,Land,0,0,2025-03-16 14:47:32.77389+00,380,325000,33.9006,35.6178
150,Kesrouane,Land,0,0,2025-03-16 14:47:32.873443+00,861,250000,33.9808,35.6856
151,Kesrouane,Land,0,0,2025-03-16 14:47:32.992759+00,3200,1000000,33.9808,35.6856
152,El Metn,Apartment,3,3,2025-03-16 14:47:33.089625+00,165,200000,33.9006,35.6178
153,El Metn,Office,1,0,2025-03-16 14:47:33.175695+00,95,300000,33.9006,35.6178
154,Kesrouane,Land,0,0,2025-03-16 14:47:33.282538+00,1220,800000,33.9808,35.6856
155,Baabda,Apartment,2,2,2025-03-16 14:47:33.385143+00,135,245000,33.8333,35.5442
157,El Metn,Apartment,3,3,2025-03-16 14:47:33.582274+00,140,185000,33.9006,35.6178
158,El Metn,Apartment,3,4,2025-03-16 14:47:33.692149+00,220,300000,33.9006,35.6178
159,El Metn,Apartment,3,4,2025-03-16 14:47:33.784045+00,220,290000,33.9006,35.6178
160,El Metn,Apartment,3,4,2025-03-16 14:47:33.89958+00,200,310000,33.9006,35.6178
162,El Metn,Apartment,3,3,2025-03-16 14:47:34.115347+00,235,250000,33.9006,35.6178
163,Jbeil,Apartment,2,2,2025-03-16 14:47:34.217768+00,137,107000,34.1236,35.6455
164,Jbeil,Apartment,2,2,2025-03-16 14:47:34.323305+00,100,115000,34.1236,35.6455
165,El Metn,Apartment,3,4,2025-03-16 14:47:34.422255+00,252,425000,33.9006,35.6178
166,Kesrouane,Land,0,0,2025-03-16 14:47:34.528034+00,2500,2000000,33.9808,35.6856
167,Kesrouane,Apartment,2,3,2025-03-16 14:47:34.629568+00,150,250000,33.9808,35.6856
168,El Metn,Shop,2,0,2025-03-16 14:47:34.727317+00,62,65000,33.9006,35.6178
169,Jbeil,Apartment,2,2,2025-03-16 14:47:34.836523+00,90,68000,34.1236,35.6455
170,Jbeil,Land,0,0,2025-03-16 14:47:34.93461+00,1500,850000,34.1236,35.6455
171,Kesrouane,Chalet,2,1,2025-03-16 14:47:35.144311+00,100,165000,33.9808,35.6856
172,Beirut,Shop,1,0,2025-03-16 14:47:35.240871+00,90,160000,33.8886,35.4955
173,Kesrouane,Apartment,3,4,2025-03-16 14:47:35.371292+00,170,315000,33.9808,35.6856
174,El Metn,Apartment,3,2,2025-03-16 14:47:35.477577+00,155,210000,33.9006,35.6178
175,Kesrouane,Apartment,3,3,2025-03-16 14:47:35.570578+00,150,185000,33.9808,35.6856
176,Kesrouane,Warehouse,0,0,2025-03-16 14:47:35.671561+00,400,185000,33.9808,35.6856
177,Jbeil,Apartment,2,2,2025-03-16 14:47:35.777503+00,110,67000,34.1236,35.6455
178,Kesrouane,Chalet,1,1,2025-03-16 14:47:35.985029+00,57,275000,33.9808,35.6856
179,El Metn,Land,0,0,2025-03-16 14:47:36.087177+00,1380,1240000,33.9006,35.6178
180,Kesrouane,Apartment,2,2,2025-03-16 14:47:36.384401+00,170,130000,33.9808,35.6856
181,El Metn,House/Villa,4,5,2025-03-16 14:47:36.486492+00,500,1000000,33.9006,35.6178
182,Beirut,Apartment,3,3,2025-03-16 14:47:36.583918+00,210,730000,33.8886,35.4955
183,Baabda,Apartment,3,4,2025-03-16 14:47:36.679042+00,380,820000,33.8333,35.5442
184,Beirut,Apartment,3,3,2025-03-16 14:47:36.792181+00,170,510000,33.8886,35.4955
185,El Metn,Apartment,2,2,2025-03-16 14:47:36.961985+00,120,130000,33.9006,35.6178
186,El Metn,Apartment,3,3,2025-03-16 14:47:37.087202+00,170,170000,33.9006,35.6178
187,El Metn,Apartment,3,3,2025-03-16 14:47:37.19121+00,170,170000,33.9006,35.6178
188,El Metn,Apartment,3,3,2025-03-16 14:47:37.288104+00,160,210000,33.9006,35.6178
189,El Metn,Apartment,3,3,2025-03-16 14:47:37.379095+00,165,220000,33.9006,35.6178
190,El Metn,Apartment,3,3,2025-03-16 14:47:37.475541+00,160,210000,33.9006,35.6178
191,El Metn,Apartment,4,5,2025-03-16 14:47:37.565123+00,320,325000,33.9006,35.6178
192,Baabda,Land,0,0,2025-03-16 14:47:37.831754+00,1360,1050000,33.8333,35.5442
193,El Metn,Apartment,3,3,2025-03-16 14:47:37.930054+00,230,350000,33.9006,35.6178
194,El Metn,Warehouse,1,0,2025-03-16 14:47:38.177142+00,617,500000,33.9006,35.6178
195,Jbeil,Land,0,0,2025-03-16 14:47:38.270516+00,1600,850000,34.1236,35.6455
196,El Metn,Apartment,4,4,2025-03-16 14:47:38.418694+00,220,350000,33.9006,35.6178
197,El Metn,Apartment,4,4,2025-03-16 14:47:38.523736+00,220,350000,33.9006,35.6178
198,El Metn,Apartment,3,4,2025-03-16 14:47:38.617936+00,200,300000,33.9006,35.6178
199,Baabda,Apartment,4,5,2025-03-16 14:47:38.725713+00,400,1150000,33.8333,35.5442
200,Kesrouane,Apartment,3,3,2025-03-16 14:47:38.883247+00,160,235000,33.9808,35.6856
201,Kesrouane,Apartment,3,3,2025-03-16 14:47:38.994433+00,145,190000,33.9808,35.6856
202,Kesrouane,Apartment,3,3,2025-03-16 14:47:39.137995+00,145,295000,33.9808,35.6856
203,Kesrouane,Apartment,3,3,2025-03-16 14:47:39.235137+00,145,190000,33.9808,35.6856
204,Jbeil,Apartment,2,2,2025-03-16 14:47:39.322594+00,120,135000,34.1236,35.6455
205,El Metn,Apartment,4,3,2025-03-16 14:47:39.426453+00,220,280000,33.9006,35.6178
206,Kesrouane,Apartment,3,5,2025-03-16 14:47:39.516568+00,300,650000,33.9808,35.6856
207,El Metn,Warehouse,1,0,2025-03-16 14:47:39.611512+00,300,80000,33.9006,35.6178
208,Kesrouane,Apartment,2,3,2025-03-16 14:47:39.702989+00,275,325000,33.9808,35.6856
209,Kesrouane,Land,0,0,2025-03-16 14:47:39.804308+00,2308,460000,33.9808,35.6856
212,Beirut,Apartment,2,2,2025-03-16 14:47:40.10246+00,120,200000,33.8886,35.4955
213,Kesrouane,Chalet,2,2,2025-03-16 14:47:40.190271+00,75,165000,33.9808,35.6856
214,El Metn,Apartment,4,4,2025-03-16 14:47:40.286222+00,250,300000,33.9006,35.6178
215,Kesrouane,Shop,1,0,2025-03-16 14:47:40.376635+00,86,150000,33.9808,35.6856
216,El Metn,Apartment,3,3,2025-03-16 14:47:40.467959+00,220,390000,33.9006,35.6178
217,Batroun,Land,0,0,2025-03-16 14:47:40.56496+00,816,80000,34.2556,35.6586
218,El Metn,Apartment,4,4,2025-03-16 14:47:40.66143+00,250,350000,33.9006,35.6178
219,El Metn,Apartment,3,3,2025-03-16 14:47:40.775766+00,220,280000,33.9006,35.6178
220,El Metn,Apartment,3,3,2025-03-16 14:47:40.875318+00,180,200000,33.9006,35.6178
221,El Metn,Apartment,3,4,2025-03-16 14:47:40.964007+00,165,240000,33.9006,35.6178
222,Kesrouane,Chalet,1,0,2025-03-16 14:47:41.074555+00,40,130000,33.9808,35.6856
223,Kesrouane,Apartment,3,4,2025-03-16 14:47:41.179189+00,165,149000,33.9808,35.6856
224,Kesrouane,Apartment,3,4,2025-03-16 14:47:41.269152+00,165,158000,33.9808,35.6856
225,Kesrouane,Apartment,3,4,2025-03-16 14:47:41.366839+00,165,166000,33.9808,35.6856
226,El Metn,Apartment,3,4,2025-03-16 14:47:41.475698+00,200,325000,33.9006,35.6178
227,El Metn,Apartment,3,4,2025-03-16 14:47:41.576312+00,200,300000,33.9006,35.6178
228,Batroun,Apartment,2,3,2025-03-16 14:47:41.68597+00,320,480000,34.2556,35.6586
229,El Metn,Apartment,2,2,2025-03-16 14:47:41.799141+00,170,200000,33.9006,35.6178
230,El Metn,Apartment,3,3,2025-03-16 14:47:41.923663+00,400,800000,33.9006,35.6178
231,El Metn,Apartment,3,4,2025-03-16 14:47:42.013652+00,360,550000,33.9006,35.6178
232,Beirut,Apartment,3,3,2025-03-16 14:47:42.105795+00,220,490000,33.8886,35.4955
233,Beirut,Apartment,3,2,2025-03-16 14:47:42.202438+00,170,300000,33.8886,35.4955
234,El Metn,Shop,3,0,2025-03-16 14:47:42.316235+00,650,900000,33.9006,35.6178
235,El Metn,Apartment,3,2,2025-03-16 14:47:42.433658+00,125,125000,33.9006,35.6178
236,El Metn,Apartment,2,2,2025-03-16 14:47:42.562157+00,110,120000,33.9006,35.6178
237,El Metn,Land,0,0,2025-03-16 14:47:42.720861+00,500,420000,33.9006,35.6178
238,El Metn,Land,0,0,2025-03-16 14:47:42.823336+00,867,550000,33.9006,35.6178
239,Kesrouane,Apartment,3,3,2025-03-16 14:47:42.96162+00,210,215000,33.9808,35.6856
240,Jbeil,Land,0,0,2025-03-16 14:47:43.071531+00,1756,150000,34.1236,35.6455
241,Kesrouane,Warehouse,1,0,2025-03-16 14:47:43.169154+00,1430,800000,33.9808,35.6856
242,Beirut,Apartment,1,1,2025-03-16 14:47:43.260517+00,75,240000,33.8886,35.4955
243,Beirut,Apartment,2,2,2025-03-16 14:47:43.36472+00,102,320000,33.8886,35.4955
244,Beirut,Apartment,2,2,2025-03-16 14:47:43.471501+00,105,325000,33.8886,35.4955
245,Kesrouane,Shop,1,0,2025-03-16 14:47:43.79768+00,100,200000,33.9808,35.6856
246,El Metn,Residential Building,3,3,2025-03-16 14:47:43.904831+00,865,565000,33.9006,35.6178
247,Kesrouane,Apartment,3,2,2025-03-16 14:47:44.165403+00,180,120000,33.9808,35.6856
248,Kesrouane,Land,0,0,2025-03-16 14:47:44.352086+00,1281,900000,33.9808,35.6856
249,Beirut,Office,0,0,2025-03-16 14:47:44.506059+00,525,1300000,33.8886,35.4955
250,Kesrouane,Apartment,3,3,2025-03-16 14:47:44.59727+00,370,400000,33.9808,35.6856
251,Kesrouane,Apartment,4,4,2025-03-16 14:47:44.698052+00,230,200000,33.9808,35.6856
252,Jbeil,Apartment,3,2,2025-03-16 14:47:44.796802+00,140,129000,34.1236,35.6455
253,El Metn,Land,0,0,2025-03-16 14:47:44.892469+00,1131,1100000,33.9006,35.6178
254,Batroun,Apartment,2,2,2025-03-16 14:47:45.016497+00,90,140000,34.2556,35.6586
255,El Metn,Land,0,0,2025-03-16 14:47:45.106765+00,1640,1200000,33.9006,35.6178
256,Kesrouane,Apartment,3,3,2025-03-16 14:47:45.199336+00,171,300000,33.9808,35.6856
257,Kesrouane,Apartment,3,3,2025-03-16 14:47:45.334813+00,180,300000,33.9808,35.6856
258,Kesrouane,Residential Building,0,0,2025-03-16 14:47:45.431211+00,1100,3800000,33.9808,35.6856
259,Jbeil,Land,0,0,2025-03-16 14:47:45.529104+00,7000,700000,34.1236,35.6455
260,Jbeil,Factory,2,0,2025-03-16 14:47:45.647307+00,500,750000,34.1236,35.6455
261,Jbeil,Residential Building,0,0,2025-03-16 14:47:45.757684+00,1200,1000000,34.1236,35.6455
262,El Metn,Land,0,0,2025-03-16 14:47:45.847216+00,2470,1729000,33.9006,35.6178
263,El Metn,Shop,0,0,2025-03-16 14:47:45.964934+00,440,3000000,33.9006,35.6178
264,Kesrouane,Apartment,2,2,2025-03-16 14:47:46.097998+00,105,90000,33.9808,35.6856
265,Baabda,Apartment,3,5,2025-03-16 14:47:46.194939+00,350,780000,33.8333,35.5442
266,Jbeil,House/Villa,3,5,2025-03-16 14:47:46.337209+00,300,500000,34.1236,35.6455
267,Jbeil,Land,0,0,2025-03-16 14:47:46.457261+00,6500,950000,34.1236,35.6455
268,Baabda,Land,0,0,2025-03-16 14:47:46.563078+00,1416,2100000,33.8333,35.5442
269,Kesrouane,Apartment,4,4,2025-03-16 14:47:46.655718+00,360,300000,33.9808,35.6856
271,El Metn,Apartment,2,2,2025-03-16 14:47:47.018192+00,137,171250,33.9006,35.6178
272,El Metn,Apartment,2,2,2025-03-16 14:47:47.138685+00,138,240000,33.9006,35.6178
273,El Metn,Apartment,3,3,2025-03-16 14:47:47.394539+00,176,325000,33.9006,35.6178
274,Beirut,Apartment,2,2,2025-03-16 14:47:47.502163+00,123,550000,33.8886,35.4955
275,El Metn,Land,0,0,2025-03-16 14:47:47.59916+00,1230,185000,33.9006,35.6178
276,Kesrouane,Apartment,1,0,2025-03-16 14:47:47.726495+00,50,82000,33.9808,35.6856
277,Kesrouane,Shop,1,0,2025-03-16 14:47:47.838687+00,90,160000,33.9808,35.6856
278,Jbeil,Shop,1,0,2025-03-16 14:47:47.951028+00,500,400000,34.1236,35.6455
279,Kesrouane,Land,0,0,2025-03-16 14:47:48.046897+00,628,350000,33.9808,35.6856
280,El Metn,Apartment,2,2,2025-03-16 14:47:48.159822+00,115,140000,33.9006,35.6178
281,Kesrouane,Apartment,3,3,2025-03-16 14:47:48.260881+00,200,400000,33.9808,35.6856
282,Batroun,Land,0,0,2025-03-16 14:47:48.350415+00,1900,510000,34.2556,35.6586
283,El Metn,Land,0,0,2025-03-16 14:47:48.46194+00,1020,714000,33.9006,35.6178
284,Jbeil,Land,0,0,2025-03-16 14:47:48.565146+00,3236,300000,34.1236,35.6455
285,Jbeil,Apartment,3,2,2025-03-16 14:47:48.659395+00,160,110000,34.1236,35.6455
286,El Metn,Apartment,5,5,2025-03-16 14:47:48.758773+00,420,410000,33.9006,35.6178
287,Beirut,Apartment,3,3,2025-03-16 14:47:48.860135+00,190,350000,33.8886,35.4955
288,Kesrouane,Land,0,0,2025-03-16 14:47:48.966256+00,583,450000,33.9808,35.6856
