id,created_at,district,avg_price_$,median_price_$,min_price_$,max_price_$,listings_count
245,2025-02-07 16:59:35.160438+00,Kfar Hazir,625000,625000,625000,625000,1
246,2025-02-07 16:59:35.258829+00,Kfar Kida,975000,975000,450000,1500000,2
247,2025-02-07 16:59:35.365483+00,Kfar Yassine,144999,100000,84999,250000,3
248,2025-02-07 16:59:35.463183+00,Kfardebian,428359,330000,140000,1650000,22
249,2025-02-07 16:59:35.55994+00,Kfarhbab,397088,330000,500,1080000,17
250,2025-02-07 16:59:35.661579+00,Kfarshima,932499,932499,164999,1700000,2
251,2025-02-07 16:59:35.769783+00,Kfaryassine,2780000,360000,180000,7800000,3
252,2025-02-07 16:59:35.867644+00,Kfarzebian,465740,350000,100000,1415000,27
253,2025-02-07 16:59:35.980258+00,Kfifane,825000,825000,825000,825000,1
254,2025-02-07 16:59:36.077245+00,Kfoun,204333,75000,38000,500000,3
255,2025-02-07 16:59:36.196891+00,Kfour,486250,272500,130000,1200000,12
256,2025-02-07 16:59:36.297894+00,Kfour (Kesrouane),892999,550000,285000,1700000,5
257,2025-02-07 16:59:36.402007+00,Khenchara,447500,447500,395000,500000,2
258,2025-02-07 16:59:36.498595+00,Klayaat,255933,250000,59999,650000,15
259,2025-02-07 16:59:36.59959+00,Kniseh (Baabda),149000,149000,149000,149000,1
260,2025-02-07 16:59:36.695551+00,Konaytra,250000,250000,250000,250000,1
261,2025-02-07 16:59:36.790698+00,Koraytem,579333,560000,220000,1550000,15
262,2025-02-07 16:59:36.887525+00,Kornet Chehwan,503129,350000,100000,2335000,100
263,2025-02-07 16:59:37.033344+00,Koura,93000,93000,93000,93000,1
264,2025-02-07 16:59:37.147869+00,Kousba,83000,83000,83000,83000,1
265,2025-02-07 16:59:37.247349+00,Laqlouq,237523,190000,57000,700000,43
266,2025-02-07 16:59:37.485539+00,Lehfed,171500,137500,70000,390000,14
267,2025-02-07 16:59:37.605583+00,Louaize,387222,370000,225000,750000,9
268,2025-02-07 16:59:37.717797+00,Louaizeh,668384,340000,200000,6500000,39
269,2025-02-07 16:59:37.815551+00,Maad,300000,300000,300000,300000,1
270,2025-02-07 16:59:37.928386+00,Maameltein,228000,240000,82000,350000,4
271,2025-02-07 16:59:38.029315+00,Maaysra,142800,149500,75000,200000,10
272,2025-02-07 16:59:38.164818+00,Maaysrah,310000,310000,310000,310000,1
273,2025-02-07 16:59:38.270725+00,Mahmerch,260000,260000,145000,375000,2
274,2025-02-07 16:59:38.383762+00,Majdel Tarchich,53500,53500,32000,75000,2
275,2025-02-07 16:59:38.492282+00,Majdla,350000,350000,350000,350000,1
276,2025-02-07 16:59:38.586491+00,Manara (Beirut),1562857,1200000,640000,2750000,7
277,2025-02-07 16:59:38.682279+00,Mansourieh,327795,230000,70000,3249999,162
278,2025-02-07 16:59:38.780872+00,Mar Chaaya,576239,429999,160000,5000000,25
279,2025-02-07 16:59:38.898115+00,Mar Elias,408863,420000,160000,600000,22
280,2025-02-07 16:59:39.00463+00,Mar Mikhael,494666,525000,170000,900000,15
281,2025-02-07 16:59:39.109475+00,Mar Moussa,220000,220000,220000,220000,1
282,2025-02-07 16:59:39.217102+00,Mar Moussa El Douar,216249,182500,150000,349999,4
283,2025-02-07 16:59:39.31998+00,Mar Roukoz,314236,250000,104999,1600000,19
284,2025-02-07 16:59:39.409378+00,Mar Takla,555764,490000,128000,2100000,17
285,2025-02-07 16:59:39.523189+00,Masqa,168666,160000,140000,206000,3
286,2025-02-07 16:59:39.645534+00,Mastita,196785,149999,100000,540000,14
287,2025-02-07 16:59:39.747723+00,Mathaf,642000,642000,642000,642000,1
288,2025-02-07 16:59:39.862189+00,Mayrouba,490709,361050,84999,1080000,5
289,2025-02-07 16:59:39.949003+00,Mazraa,354999,239999,175000,650000,3
290,2025-02-07 16:59:40.044402+00,Mazraat Yachouh,303343,250000,88000,850000,67
291,2025-02-07 16:59:40.143427+00,Mazraat el Siyad,250000,250000,250000,250000,1
292,2025-02-07 16:59:40.30914+00,Mechmech,178942,118000,60000,600000,35
293,2025-02-07 16:59:40.416487+00,Mejdel,605000,605000,210000,1000000,2
294,2025-02-07 16:59:40.515982+00,Mezher,450833,484999,180000,735000,6
295,2025-02-07 16:59:40.618592+00,Mkalles,1225000,575000,250000,3500000,4
296,2025-02-07 16:59:40.717561+00,Monot,1600000,1600000,1600000,1600000,1
297,2025-02-07 16:59:40.816122+00,Monsef,962500,325000,180000,6110000,10
298,2025-02-07 16:59:40.917407+00,Monteverde,768857,512500,80000,9000000,110
299,2025-02-07 16:59:41.018287+00,Mradiye,95000,95000,95000,95000,1
300,2025-02-07 16:59:41.119078+00,Mreijat,220000,220000,220000,220000,1
301,2025-02-07 16:59:41.234935+00,Mrouj,295000,295000,295000,295000,1
302,2025-02-07 16:59:41.378537+00,Msaytbeh,483333,500000,435000,515000,3
303,2025-02-07 16:59:41.475193+00,Mtayleb,660811,587500,163000,5200000,122
304,2025-02-07 16:59:41.608219+00,Mtein,413750,245000,175000,990000,4
305,2025-02-07 16:59:41.707336+00,Naas,798600,840000,550000,1000000,5
306,2025-02-07 16:59:41.820954+00,Nabay,696055,177500,95000,6790000,18
307,2025-02-07 16:59:41.94147+00,Nabey,326272,220000,150000,1300000,11
308,2025-02-07 16:59:42.044348+00,Naccache,579821,375000,180000,2500000,28
309,2025-02-07 16:59:42.136409+00,Nahr El Mot,270000,270000,120000,420000,2
310,2025-02-07 16:59:42.238505+00,Nahr Ibrahim,587965,210000,93000,3590000,29
311,2025-02-07 16:59:42.368998+00,Nakabet Atebba,250000,250000,250000,250000,1
312,2025-02-07 16:59:42.469277+00,Nammoura,325000,325000,325000,325000,1
313,2025-02-07 16:59:42.572067+00,Naqqache,474454,315000,110000,3500000,55
314,2025-02-07 16:59:42.668839+00,New Mar Takla,626666,550000,410000,1200000,6
315,2025-02-07 16:59:42.766778+00,New Rawda,144090,125000,64999,250000,11
316,2025-02-07 16:59:42.860745+00,Nowayri,202000,195000,150000,300000,5
317,2025-02-07 16:59:42.966785+00,Obaydat,360000,360000,360000,360000,1
318,2025-02-07 16:59:43.098477+00,Okaybe,140000,140000,140000,140000,1
319,2025-02-07 16:59:43.197229+00,Ouyoun Al Simen,656756,400000,135000,5000000,37
320,2025-02-07 16:59:43.310375+00,Ouyoun Broummana,376079,334999,125000,749999,25
321,2025-02-07 16:59:43.44104+00,Qalaa,540000,540000,540000,540000,1
322,2025-02-07 16:59:43.547474+00,Qannabet Broumana,440833,407500,280000,675000,6
323,2025-02-07 16:59:43.653491+00,Qartaba,825000,825000,825000,825000,1
324,2025-02-07 16:59:43.752474+00,Qartaboun,138571,150000,100000,170000,7
325,2025-02-07 16:59:43.86619+00,Qennabet Baabdat,237444,180000,135000,650000,9
326,2025-02-07 16:59:43.972647+00,Qennabet Broummana,499999,560000,114999,720000,15
327,2025-02-07 16:59:44.075347+00,Qornet El Hamra,520941,180000,105000,3000000,17
328,2025-02-07 16:59:44.186954+00,Qortada,300000,300000,300000,300000,1
329,2025-02-07 16:59:44.301183+00,Qortadah,180000,180000,180000,180000,1
330,2025-02-07 16:59:44.396678+00,Raachine,200000,200000,100000,300000,3
331,2025-02-07 16:59:44.500586+00,Raashine,120000,120000,120000,120000,1
332,2025-02-07 16:59:44.602426+00,Rabieh,1913795,1160000,225000,15000000,127
333,2025-02-07 16:59:44.699867+00,Rabweh,419253,360000,95000,1950000,95
334,2025-02-07 16:59:44.812028+00,Racha,200000,200000,200000,200000,1
