date,city,transaction_value,id
2013-05-01,Beirut,297.959,29
2013-05-01,Bekaa,34.696,317
2013-05-01,Mount Lebanon North,267.132,173
2013-05-01,Mount Lebanon South,720.5550000000001,101
2013-05-01,North,106.392,245
2013-06-01,Beirut,324.049,30
2013-06-01,Bekaa,34.974,318
2013-06-01,Mount Lebanon North,306.718,174
2013-06-01,Mount Lebanon South,841.3589999999999,102
2013-06-01,North,57.688,246
2013-07-01,Beirut,318.328,31
2013-07-01,Bekaa,31.842,319
2013-07-01,Mount Lebanon North,333.132,175
2013-07-01,Mount Lebanon South,831.507,103
2013-07-01,North,73.608,247
2013-08-01,Beirut,245.108,32
2013-08-01,Bekaa,35.375,320
2013-08-01,Mount Lebanon North,217.718,176
2013-08-01,Mount Lebanon South,640.563,104
2013-08-01,North,58.878,248
2013-09-01,Beirut,319.075,33
2013-09-01,Bekaa,38.111,321
2013-09-01,Mount Lebanon North,231.09,177
2013-09-01,Mount Lebanon South,680.853,105
2013-09-01,North,57.082,249
2013-10-01,Beirut,492.046,34
2013-10-01,Bekaa,34.088,322
2013-10-01,Mount Lebanon North,270.204,178
2013-10-01,Mount Lebanon South,661.404,106
2013-10-01,North,83.828,250
2013-11-01,Beirut,300.705,35
2013-11-01,Bekaa,41.95,323
2013-11-01,Mount Lebanon North,267.85,179
2013-11-01,Mount Lebanon South,760.557,107
2013-11-01,North,66.296,251
2013-12-01,Beirut,582.023,36
2013-12-01,Bekaa,48.607,324
2013-12-01,Mount Lebanon North,292.328,180
2013-12-01,Mount Lebanon South,1018.653,108
2013-12-01,North,58.57,252
2014-01-01,Beirut,433.823,37
2014-01-01,Bekaa,37.079,325
2014-01-01,Mount Lebanon North,210.17,181
2014-01-01,Mount Lebanon South,613.3290000000001,109
2014-01-01,North,59.106,253
2014-02-01,Beirut,226.236,38
2014-02-01,Bekaa,31.415,326
2014-02-01,Mount Lebanon North,214.404,182
2014-02-01,Mount Lebanon South,662.865,110
2014-02-01,North,71.202,254
2014-03-01,Beirut,260.777,39
2014-03-01,Bekaa,33.419,327
2014-03-01,Mount Lebanon North,255.59,183
2014-03-01,Mount Lebanon South,718.626,111
2014-03-01,North,48.154,255
2014-04-01,Beirut,340.665,40
2014-04-01,Bekaa,40.11,328
2014-04-01,Mount Lebanon North,280.218,184
2014-04-01,Mount Lebanon South,773.814,112
2014-04-01,North,76.324,256
2014-05-01,Beirut,515.116,41
2014-05-01,Bekaa,55.859,329
2014-05-01,Mount Lebanon North,325.478,185
2014-05-01,Mount Lebanon South,928.4879999999999,113
2014-05-01,North,83.14,257
2014-06-01,Beirut,238.155,42
2014-06-01,Bekaa,42.07,330
2014-06-01,Mount Lebanon North,226.758,186
2014-06-01,Mount Lebanon South,644.523,114
2014-06-01,North,72.408,258
2014-07-01,Beirut,237.252,43
2014-07-01,Bekaa,37.027,331
2014-07-01,Mount Lebanon North,210.54,187
2014-07-01,Mount Lebanon South,725.4300000000001,115
2014-07-01,North,67.268,259
2014-08-01,Beirut,243.356,44
2014-08-01,Bekaa,48.445,332
2014-08-01,Mount Lebanon North,234.646,188
2014-08-01,Mount Lebanon South,772.2149999999999,116
2014-08-01,North,89.052,260
2014-09-01,Beirut,341.588,45
2014-09-01,Bekaa,42.879,333
2014-09-01,Mount Lebanon North,261.532,189
2014-09-01,Mount Lebanon South,758.0550000000001,117
2014-09-01,North,79.476,261
2014-10-01,Beirut,284.168,46
2014-10-01,Bekaa,38.564,334
2014-10-01,Mount Lebanon North,252.412,190
2014-10-01,Mount Lebanon South,622.8480000000001,118
2014-10-01,North,80.874,262
2014-11-01,Beirut,210.212,47
2014-11-01,Bekaa,40.973,335
2014-11-01,Mount Lebanon North,290.694,191
2014-11-01,Mount Lebanon South,838.221,119
2014-11-01,North,56.318,263
2014-12-01,Beirut,348.164,48
2014-12-01,Bekaa,47.744,336
2014-12-01,Mount Lebanon North,349.078,192
2014-12-01,Mount Lebanon South,851.508,120
2014-12-01,North,64.624,264
2015-01-01,Beirut,266.641,49
2015-01-01,Bekaa,22.714,337
2015-01-01,Mount Lebanon North,165.584,193
