Date,Transaction_Value,City
07/2014,33.634,"Tripoli, Akkar"
08/2014,44.526,"Tripoli, Akkar"
09/2014,39.738,"Tripoli, Akkar"
10/2014,40.437,"Tripoli, Akkar"
11/2014,28.159,"Tripoli, Akkar"
12/2014,32.312,"Tripoli, Akkar"
01/2015,33.171,"Tripoli, Akkar"
02/2015,25.535,"Tripoli, Akkar"
03/2015,26.992,"Tripoli, Akkar"
04/2015,23.727,"Tripoli, Akkar"
05/2015,36.065,"Tripoli, Akkar"
06/2015,27.172,"Tripoli, Akkar"
07/2015,33.856,"Tripoli, Akkar"
08/2015,32.35,"Tripoli, Akkar"
09/2015,34.319,"Tripoli, Akkar"
10/2015,36.33,"Tripoli, Akkar"
11/2015,36.712,"Tripoli, Akkar"
12/2015,32.538,"Tripoli, Akkar"
01/2016,28.713,"Tripoli, Akkar"
02/2016,34.828,"Tripoli, Akkar"
03/2016,39.424,"Tripoli, Akkar"
04/2016,39.705,"Tripoli, Akkar"
05/2016,29.661,"Tripoli, Akkar"
06/2016,30.813,"Tripoli, Akkar"
07/2016,37.235,"Tripoli, Akkar"
08/2016,33.724,"Tripoli, Akkar"
09/2016,25.447,"Tripoli, Akkar"
10/2016,32.385,"Tripoli, Akkar"
11/2016,39.532,"Tripoli, Akkar"
12/2016,42.618,"Tripoli, Akkar"
01/2011,18.988,Bekaa
02/2011,15.206,Bekaa
03/2011,38.896,Bekaa
04/2011,32.465,Bekaa
05/2011,37.688,Bekaa
06/2011,35.716,Bekaa
07/2011,36.784,Bekaa
08/2011,35.262,Bekaa
09/2011,33.596,Bekaa
10/2011,43.517,Bekaa
11/2011,37.012,Bekaa
12/2011,42.374,Bekaa
01/2012,33.419,Bekaa
02/2012,22.855,Bekaa
03/2012,32.547,Bekaa
04/2012,36.864,Bekaa
05/2012,39.682,Bekaa
06/2012,40.714,Bekaa
07/2012,36.105,Bekaa
08/2012,38.884,Bekaa
09/2012,62.986,Bekaa
10/2012,33.443,Bekaa
11/2012,33.998,Bekaa
12/2012,44.042,Bekaa
01/2013,29.673,Bekaa
02/2013,30.755,Bekaa
03/2013,32.377,Bekaa
04/2013,41.144,Bekaa
05/2013,34.696,Bekaa
06/2013,34.974,Bekaa
07/2013,31.842,Bekaa
08/2013,35.375,Bekaa
09/2013,38.111,Bekaa
10/2013,34.088,Bekaa
11/2013,41.95,Bekaa
12/2013,48.607,Bekaa
01/2014,37.079,Bekaa
02/2014,31.415,Bekaa
03/2014,33.419,Bekaa
04/2014,40.11,Bekaa
05/2014,55.859,Bekaa
06/2014,42.07,Bekaa
07/2014,37.027,Bekaa
08/2014,48.445,Bekaa
09/2014,42.879,Bekaa
10/2014,38.564,Bekaa
11/2014,40.973,Bekaa
12/2014,47.744,Bekaa
01/2015,22.714,Bekaa
02/2015,21.658,Bekaa
03/2015,38.1,Bekaa
04/2015,28.487,Bekaa
05/2015,33.424,Bekaa
06/2015,38.146,Bekaa
07/2015,46.859,Bekaa
08/2015,45.48,Bekaa
09/2015,42.696,Bekaa
10/2015,33.738,Bekaa
11/2015,32.772,Bekaa
12/2015,51.427,Bekaa
01/2016,19.919,Bekaa
02/2016,41.907,Bekaa
03/2016,45.019,Bekaa
04/2016,46.032,Bekaa
05/2016,26.837,Bekaa
06/2016,31.268,Bekaa
07/2016,37.114,Bekaa
08/2016,37.075,Bekaa
09/2016,35.583,Bekaa
10/2016,39.955,Bekaa
11/2016,64.784,Bekaa
12/2016,38.119,Bekaa
01/2011,47.329,Saida 
02/2011,30.593,Saida 
03/2011,57.026,Saida 
04/2011,49.421,Saida 
05/2011,53.053,Saida 
06/2011,52.36,Saida 
07/2011,50.639,Saida 
08/2011,46.865,Saida 
09/2011,46.627,Saida 
10/2011,74.909,Saida 
11/2011,51.208,Saida 
12/2011,112.244,Saida 
01/2012,32.336,Saida 
02/2012,34.669,Saida 
03/2012,54.472,Saida 
04/2012,29.13,Saida 
05/2012,45.364,Saida 
06/2012,45.855,Saida 
07/2012,39.038,Saida 
08/2012,97.583,Saida 
09/2012,87.377,Saida 
10/2012,72.24,Saida 
11/2012,62.812,Saida 
12/2012,159.015,Saida 
01/2013,31.769,Saida 
02/2013,40.105,Saida 
03/2013,48.291,Saida 
04/2013,62.553,Saida 
05/2013,47.569,Saida 
06/2013,40.733,Saida 
07/2013,61.61,Saida 
08/2013,46.431,Saida 
09/2013,39.555,Saida 
10/2013,52.274,Saida 
11/2013,80.608,Saida 
12/2013,82.512,Saida 
01/2014,54.704,Saida 
02/2014,45.036,Saida 
03/2014,54.481,Saida 
04/2014,58.457,Saida 
05/2014,78.722,Saida 
06/2014,75.308,Saida 
07/2014,50.66,Saida 
08/2014,178.823,Saida 
09/2014,90.752,Saida 
10/2014,90.428,Saida 
11/2014,72.838,Saida 
12/2014,92.868,Saida 
01/2015,40.451,Saida 
02/2015,39.6,Saida 
03/2015,58.224,Saida 
04/2015,63.193,Saida 
05/2015,54.1,Saida 
06/2015,51.985,Saida 
07/2015,45.622,Saida 
08/2015,74.197,Saida 
09/2015,77.416,Saida 
10/2015,94.378,Saida 
11/2015,761.425,Saida 
12/2015,71.103,Saida 
01/2016,78.092,Saida 
02/2016,94.54,Saida 
03/2016,76.54,Saida 
04/2016,64.853,Saida 
05/2016,57.052,Saida 
06/2016,77.023,Saida 
07/2016,62.926,Saida 
08/2016,79.126,Saida 
09/2016,62.083,Saida 
10/2016,57.393,Saida 
11/2016,62.776,Saida 
12/2016,110.633,Saida 
01/2011,15.311,Nabatieh 
02/2011,16.726,Nabatieh 
03/2011,21.257,Nabatieh 
04/2011,19.893,Nabatieh 
05/2011,19.416,Nabatieh 
06/2011,28.211,Nabatieh 
07/2011,19.46,Nabatieh 
08/2011,20.382,Nabatieh 
09/2011,22.972,Nabatieh 
10/2011,34.822,Nabatieh 
11/2011,28.35,Nabatieh 
12/2011,37.07,Nabatieh 
01/2012,23.237,Nabatieh 
02/2012,21.9,Nabatieh 
03/2012,25.366,Nabatieh 
04/2012,26.176,Nabatieh 
05/2012,34.51,Nabatieh 
06/2012,25.191,Nabatieh 
07/2012,25.062,Nabatieh 
08/2012,30.944,Nabatieh 
09/2012,32.437,Nabatieh 
10/2012,25.928,Nabatieh 
11/2012,399.837,Nabatieh 
12/2012,32.468,Nabatieh 
01/2013,21.562,Nabatieh 
02/2013,24.424,Nabatieh 
03/2013,24.755,Nabatieh 
04/2013,33.874,Nabatieh 
05/2013,24.879,Nabatieh 
06/2013,29.97,Nabatieh 
07/2013,29.502,Nabatieh 
08/2013,28.65,Nabatieh 
09/2013,32.799,Nabatieh 
10/2013,35.53,Nabatieh 
11/2013,30.064,Nabatieh 
12/2013,37.946,Nabatieh 
01/2014,23.272,Nabatieh 
02/2014,33.612,Nabatieh 
03/2014,35.999,Nabatieh 
04/2014,39.048,Nabatieh 
05/2014,42.188,Nabatieh 
06/2014,37.589,Nabatieh 
07/2014,31.077,Nabatieh 
08/2014,46.969,Nabatieh 
09/2014,44.648,Nabatieh 
10/2014,32.477,Nabatieh 
11/2014,37.419,Nabatieh 
12/2014,39.362,Nabatieh 
01/2015,23.225,Nabatieh 
02/2015,24.817,Nabatieh 
03/2015,35.227,Nabatieh 
04/2015,27.743,Nabatieh 
05/2015,33.041,Nabatieh 
06/2015,32.973,Nabatieh 
07/2015,31.107,Nabatieh 
08/2015,34.821,Nabatieh 
09/2015,45.819,Nabatieh 
10/2015,33.238,Nabatieh 
11/2015,36.559,Nabatieh 
12/2015,50.686,Nabatieh 
01/2016,22.117,Nabatieh 
02/2016,26.827,Nabatieh 
03/2016,29.019,Nabatieh 
04/2016,30.237,Nabatieh 
05/2016,28.412,Nabatieh 
06/2016,26.319,Nabatieh 
07/2016,27.216,Nabatieh 
08/2016,33.988,Nabatieh 
09/2016,29.291,Nabatieh 
10/2016,35.5,Nabatieh 
11/2016,39.36,Nabatieh 
12/2016,34.6,Nabatieh 
