Address,Rent $/year,Type,Size m²,Bedrooms,Bathrooms
"Kornet Chehwan, El Metn, Mount Lebanon",24000                        ,Apartment,540,4,5
"Fiyadiye, Baabda, Mount Lebanon",12000                        ,Apartment,130,2,3
"Achrafieh, Beirut, Beirut",15600                        ,Apartment,115,2,2
"Achrafieh, Beirut, Beirut",24000                        ,Office,95,1,N/A
"Halat, Jbeil, Mount Lebanon",6600                        ,Apartment,140,3,3
"Aoukar, El Metn, Mount Lebanon",8400                        ,Apartment,170,3,2
"Aoukar, El Metn, Mount Lebanon",9600                        ,Apartment,110,2,2
"Nahr Ibrahim, Jbeil, Mount Lebanon",7200                        ,Apartment,160,2,2
"Jbeil, Jbeil, Mount Lebanon",6000                        ,Office,100,1,N/A
"Zalka, El Metn, Mount Lebanon",8400                        ,Office,100,1,N/A
"Jounieh, Kesrouane, Mount Lebanon",15000                        ,Shop,140,1,N/A
"Sahel Alma, Kesrouane, Mount Lebanon",15000                        ,Apartment,200,3,3
"Achrafieh, Beirut, Beirut",14400                        ,Apartment,135,2,2
"Jal el Dib, El Metn, Mount Lebanon",5400                        ,Shop,50,3,N/A
"Zalka, El Metn, Mount Lebanon",8400                        ,Office,100,1,N/A
"Achrafieh, Beirut, Beirut",10800                        ,Apartment,138,2,1
"Achrafieh, Beirut, Beirut",14400                        ,Apartment,160,2,4
"Ain Al Remmane, Baabda, Mount Lebanon",13200                        ,Apartment,300,3,3
"Achrafieh, Beirut, Beirut",12000                        ,Apartment,55,1,1
"Achrafieh, Beirut, Beirut",15000                        ,Apartment,145,3,2
"Jbeil, Jbeil, Mount Lebanon",18000                        ,Shop,150,1,N/A
"Kaslik, Kesrouane, Mount Lebanon",5000                        ,Chalet,25,1,N/A
"Badaro, Beirut, Beirut",24000                        ,Apartment,200,3,2
"Jounieh, Kesrouane, Mount Lebanon",3600                        ,Office,45,1,N/A
"Antelias, El Metn, Mount Lebanon",22000                        ,Office,160,2,N/A
"Ouyoun Al Simen, Kesrouane, Mount Lebanon",19200                        ,Chalet,140,3,2
"Jbeil, Jbeil, Mount Lebanon",6600                        ,Apartment,90,2,2
"Jbeil, Jbeil, Mount Lebanon",4200                        ,Apartment,130,2,2
"Fidar, Jbeil, Mount Lebanon",24000                        ,Land,5000,N/A,N/A
"Ras Beirut, Beirut, Beirut",14400                        ,Apartment,120,3,2
"Ras Beirut, Beirut, Beirut",15600                        ,Apartment,165,3,3
"Down Town, Beirut, Beirut",40000                        ,Apartment,275,3,3
"Jal el Dib, El Metn, Mount Lebanon",7200                        ,Office,80,1,N/A
"Yarzeh, Baabda, Mount Lebanon",50000                        ,Apartment,500,5,6
"Rabieh, El Metn, Mount Lebanon",30000                        ,Apartment,300,4,5
"Jouret Al Ballout, El Metn, Mount Lebanon",30000                        ,House/Villa,400,4,5
"Ras Beirut, Beirut, Beirut",15600                        ,Apartment,190,3,2
"Jal el Dib, El Metn, Mount Lebanon",8400                        ,Office,100,1,N/A
"Ouyoun Al Simen, Kesrouane, Mount Lebanon",12000                        ,Chalet,80,2,2
"Monteverde, El Metn, Mount Lebanon",12000                        ,Apartment,180,3,3
"Achrafieh, Beirut, Beirut",20400                        ,Apartment,120,2,2
"Edde, Jbeil, Mount Lebanon",8400                        ,Apartment,120,3,2
"Hboub, Jbeil, Mount Lebanon",5400                        ,Apartment,125,2,2
"Jbeil, Jbeil, Mount Lebanon",10800                        ,Apartment,220,3,4
"Achrafieh, Beirut, Beirut",13200                        ,Apartment,100,2,3
"Jbeil, Jbeil, Mount Lebanon",15000                        ,Office,250,2,N/A
"Dbayeh, El Metn, Mount Lebanon",270000                        ,Land,4500,N/A,N/A
"Naccache, El Metn, Mount Lebanon",70000                        ,Land,2070,N/A,N/A
"Kfarzebian, Kesrouane, Mount Lebanon",60000                        ,Chalet,400,4,6
"Mansourieh, El Metn, Mount Lebanon",8400                        ,Apartment,120,2,2
"Achrafieh, Beirut, Beirut",13200                        ,Apartment,80,1,1
"Ajaltoun, Kesrouane, Mount Lebanon",6000                        ,Apartment,90,2,1
"kfarhbeib, Kesrouane, Mount Lebanon",7200                        ,Apartment,200,3,4
"Achrafieh, Beirut, Beirut",24000                        ,Office,80,1,N/A
"Kaslik, Kesrouane, Mount Lebanon",4800                        ,Chalet,25,1,N/A
"Batroun, Batroun, North",12000                        ,Apartment,90,2,2
"Bouchrieh, El Metn, Mount Lebanon",200000                        ,Shop,800,3,N/A
"Naccache, El Metn, Mount Lebanon",9600                        ,Apartment,190,2,2
"Dbayeh, El Metn, Mount Lebanon",54000                        ,Office,325,2,N/A
"Dbayeh, El Metn, Mount Lebanon",30000                        ,Office,135,1,N/A
"Achrafieh, Beirut, Beirut",15600                        ,Apartment,220,3,3
"Achkout, Kesrouane, Mount Lebanon",9000                        ,Apartment,140,2,2
"Kaslik, Kesrouane, Mount Lebanon",7200                        ,Apartment,210,3,3
"Kaslik, Kesrouane, Mount Lebanon",7200                        ,Apartment,100,2,3
"Baabdat, El Metn, Mount Lebanon",8400                        ,Apartment,130,2,2
"Dik El Mehdi, El Metn, Mount Lebanon",300000                        ,Commercial Building,5000,N/A,N/A
"Achrafieh, Beirut, Beirut",9600                        ,Apartment,150,2,2
"Fakra, Kesrouane, Mount Lebanon",24000                        ,Chalet,123,2,2
"Bouchrieh, El Metn, Mount Lebanon",42000                        ,Office,360,2,N/A
"Jbeil, Jbeil, Mount Lebanon",10800                        ,Warehouse,375,1,N/A
"Dik El Mehdi, El Metn, Mount Lebanon",30000                        ,Apartment,350,4,5
"Edde, Jbeil, Mount Lebanon",70000                        ,Commercial Building,1000,4,N/A
"Dekweneh, El Metn, Mount Lebanon",18000                        ,Office,95,1,N/A
"Dora, El Metn, Mount Lebanon",8400                        ,Office,75,1,N/A
"Koura, Koura, North",110000                        ,Land,15121,N/A,N/A
"Dik El Mehdi, El Metn, Mount Lebanon",20400                        ,Apartment,345,4,5
"Kornet Chehwan, El Metn, Mount Lebanon",4800                        ,Office,60,1,N/A
"Achrafieh, Beirut, Beirut",36000                        ,Apartment,180,3,3
"Jbeil, Jbeil, Mount Lebanon",7200                        ,Apartment,100,2,2
"Hboub, Jbeil, Mount Lebanon",8400                        ,Apartment,270,3,4
"Dbayeh, El Metn, Mount Lebanon",90000                        ,Shop,300,2,N/A
"Kaslik, Kesrouane, Mount Lebanon",36000                        ,Shop,226,2,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon",33000                        ,Shop,850,2,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon",42000                        ,Shop,850,2,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon",30000                        ,Warehouse,1350,2,N/A
"Kfarzebian, Kesrouane, Mount Lebanon",13000                        ,Chalet,100,2,1
"Zouk Mikael, Kesrouane, Mount Lebanon",8400                        ,Apartment,140,3,3
"Zouk Mikael, Kesrouane, Mount Lebanon",12000                        ,Land,400,N/A,N/A
"Kaslik, Kesrouane, Mount Lebanon",60000                        ,Shop,400,2,N/A
"kfarhbeib, Kesrouane, Mount Lebanon",9600                        ,Apartment,220,3,3
"Batroun, Batroun, North",42000                        ,House/Villa,500,5,5
"Dekweneh, El Metn, Mount Lebanon",24000                        ,Shop,220,2,N/A
"Jbeil, Jbeil, Mount Lebanon",12000                        ,Warehouse,600,1,N/A
"Mazraat Yachouh, El Metn, Mount Lebanon",9000                        ,Apartment,150,3,3
"Horsh Tabet, El Metn, Mount Lebanon",25000                        ,Office,140,3,N/A
"Dbayeh, El Metn, Mount Lebanon",18000                        ,Shop,120,1,N/A
"Zalka, El Metn, Mount Lebanon",6000                        ,Office,75,1,N/A
"Dora, El Metn, Mount Lebanon",19200                        ,Shop,250,1,N/A
"Kfaryassine, Kesrouane, Mount Lebanon",6000                        ,Apartment,130,2,2
"Adma, Kesrouane, Mount Lebanon",6000                        ,Office,100,1,N/A
"Dbayeh, El Metn, Mount Lebanon",450000                        ,Land,3200,6,N/A
"Dik El Mehdi, El Metn, Mount Lebanon",6600                        ,Apartment,70,1,1
"Elissar, El Metn, Mount Lebanon",9600                        ,Apartment,300,4,4
"Achrafieh, Beirut, Beirut",12000                        ,Apartment,160,3,2
"Halat, Jbeil, Mount Lebanon",9600                        ,Chalet,37,1,1
"Jal el Dib, El Metn, Mount Lebanon",9600                        ,Apartment,170,2,2
"Achrafieh, Beirut, Beirut",8400                        ,Apartment,140,3,1
"Achrafieh, Beirut, Beirut",6600                        ,Apartment,100,2,1
"Achrafieh, Beirut, Beirut",12000                        ,Apartment,150,2,1
"Achrafieh, Beirut, Beirut",60000                        ,Residential Building,1100,6,6
"Shayle, Kesrouane, Mount Lebanon",7800                        ,Apartment,200,3,3
"Jbeil, Jbeil, Mount Lebanon",6000                        ,Apartment,100,2,2
"Jbeil, Jbeil, Mount Lebanon",3600                        ,Office,45,1,N/A
"Rabieh, El Metn, Mount Lebanon",84000                        ,House/Villa,1000,7,N/A
"Nahr Ibrahim, Jbeil, Mount Lebanon",275000                        ,Commercial Building,3000,3,N/A
"Nahr Ibrahim, Jbeil, Mount Lebanon",225000                        ,Shop,2000,1,N/A
"Achrafieh, Beirut, Beirut",9600                        ,Office,300,3,N/A
"Jounieh, Kesrouane, Mount Lebanon",9600                        ,Apartment,155,3,2
"Ghazir, Kesrouane, Mount Lebanon",4800                        ,Shop,80,1,N/A
"kfarhbeib, Kesrouane, Mount Lebanon",4800                        ,Office,50,1,N/A
"Jbeil, Jbeil, Mount Lebanon",12000                        ,House/Villa,310,4,4
"Achrafieh, Beirut, Beirut",15600                        ,Apartment,160,3,2
"Achrafieh, Beirut, Beirut",36000                        ,Shop,300,2,N/A
"Jbeil, Jbeil, Mount Lebanon",36000                        ,Factory,500,2,N/A
"Jal el Dib, El Metn, Mount Lebanon",6000                        ,Office,70,1,N/A
"Jbeil, Jbeil, Mount Lebanon",12000                        ,House/Villa,310,4,4
"Dbayeh, El Metn, Mount Lebanon",27000                        ,Land,1100,N/A,N/A
"Down Town, Beirut, Beirut",156000                        ,Apartment,740,4,4
"Ghazir, Kesrouane, Mount Lebanon",7200                        ,Shop,100,1,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon",9600                        ,Shop,110,1,N/A
"Badaro, Beirut, Beirut",20400                        ,Apartment,220,3,3
"Achrafieh, Beirut, Beirut",12000                        ,Apartment,100,2,2
