Address,Rent $/year,Type,Size m²,Bedrooms,Bathrooms
"Barbara, Jbeil, Mount Lebanon",48000                        ,Land,1200,N/A,N/A
"Barbara, Jbeil, Mount Lebanon",12000                        ,Land,1000,N/A,N/A
"Jeita, Kesrouane, Mount Lebanon",12000                        ,Apartment,165,3,3
"Achrafieh, Beirut, Beirut",30000                        ,Apartment,180,2,3
"Zouk Mikael, Kesrouane, Mount Lebanon",6600                        ,Apartment,180,3,3
"Batroun, Batroun, North",21600                        ,Apartment,115,2,2
"Jounieh, Kesrouane, Mount Lebanon",72000                        ,Land,2500,N/A,N/A
"Achrafieh, Beirut, Beirut",12000                        ,Apartment,117,2,2
"Achrafieh, Beirut, Beirut",10800                        ,Office,60,1,N/A
"Achrafieh, Beirut, Beirut",18000                        ,Shop,45,1,N/A
"Batroun, Batroun, North",12000                        ,Shop,70,1,N/A
"Ouyoun Al Simen, Kesrouane, Mount Lebanon",30000                        ,Chalet,200,3,4
"Shayle, Kesrouane, Mount Lebanon",8400                        ,Apartment,110,2,2
"Achrafieh, Beirut, Beirut",24000                        ,Apartment,232,3,3
"Achrafieh, Beirut, Beirut",20000                        ,Apartment,268,3,4
"Achrafieh, Beirut, Beirut",12000                        ,Apartment,150,3,2
"Badaro, Beirut, Beirut",24000                        ,Apartment,310,4,4
"Badaro, Beirut, Beirut",14400                        ,Shop,80,1,N/A
"Jounieh, Kesrouane, Mount Lebanon",6000                        ,Office,60,1,N/A
"Kaslik, Kesrouane, Mount Lebanon",16000                        ,Chalet,100,2,1
"Achrafieh, Beirut, Beirut",30000                        ,Shop,120,2,N/A
"Halat, Jbeil, Mount Lebanon",4800                        ,Apartment,100,2,3
"Jbeil, Jbeil, Mount Lebanon",12000                        ,Warehouse,400,5,N/A
"Jbeil, Jbeil, Mount Lebanon",25000                        ,Shop,300,5,N/A
"Jbeil, Jbeil, Mount Lebanon",36000                        ,Shop,700,5,N/A
"Jounieh, Kesrouane, Mount Lebanon",7200                        ,Shop,50,1,N/A
"Jbeil, Jbeil, Mount Lebanon",18000                        ,House/Villa,450,5,4
"Kaslik, Kesrouane, Mount Lebanon",7200                        ,Office,200,1,N/A
"Batroun, Batroun, North",33600                        ,House/Villa,160,3,1
"Halat, Jbeil, Mount Lebanon",5000                        ,Chalet,25,1,1
"Achrafieh, Beirut, Beirut",30000                        ,Shop,400,3,N/A
"Achrafieh, Beirut, Beirut",9600                        ,Apartment,45,1,1
"Bouchrieh, El Metn, Mount Lebanon",48000                        ,Warehouse,500,3,3
"Achrafieh, Beirut, Beirut",24000                        ,Office,150,2,N/A
"Achrafieh, Beirut, Beirut",24000                        ,Apartment,270,3,3
"Dbayeh, El Metn, Mount Lebanon",36000                        ,Apartment,300,3,4
"Batroun, Batroun, North",6600                        ,Chalet,47,1,1
"Yarzeh, Baabda, Mount Lebanon",100000                        ,House/Villa,2000,9,7
"Achrafieh, Beirut, Beirut",80000                        ,Apartment,700,4,5
"Tabarja, Kesrouane, Mount Lebanon",90000                        ,Shop,900,2,N/A
"Achrafieh, Beirut, Beirut",390000                        ,Commercial Building,2616,N/A,N/A
"Achrafieh, Beirut, Beirut",24000                        ,Office,180,N/A,N/A
"Achrafieh, Beirut, Beirut",15000                        ,Office,100,2,N/A
"Naccache, El Metn, Mount Lebanon",30000                        ,Apartment,400,3,3
"Achrafieh, Beirut, Beirut",30000                        ,Office,240,2,N/A
"Achrafieh, Beirut, Beirut",18000                        ,Office,100,2,N/A
"Aamchit, Jbeil, Mount Lebanon",6000                        ,Chalet,25,1,N/A
"Achrafieh, Beirut, Beirut",175000                        ,Shop,882,4,1
"Faytroun, Kesrouane, Mount Lebanon",4400                         /Season,Chalet,120,2,1
"Mansourieh, El Metn, Mount Lebanon",14400                        ,Apartment,200,3,4
"Biyada, El Metn, Mount Lebanon",15000                        ,Apartment,400,3,2
"Zalka, El Metn, Mount Lebanon",15600                        ,Warehouse,376,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",4800                        ,Apartment,120,2,2
"Bouar, Kesrouane, Mount Lebanon",4800                        ,Office,35,1,N/A
"Mtayleb, El Metn, Mount Lebanon",30000                        ,Shop,500,1,N/A
"Kfar Aabida, Batroun, North",36000                        ,Land,6000,N/A,N/A
"Jounieh, Kesrouane, Mount Lebanon",60000                        ,Commercial Building,600,N/A,N/A
"Sabtieh, El Metn, Mount Lebanon",16000                        ,Office,650,N/A,N/A
"Kaslik, Kesrouane, Mount Lebanon",120000                        ,Shop,1500,2,N/A
"Beit Chabeb, El Metn, Mount Lebanon",72000                        ,House/Villa,1200,4,6
"Achrafieh, Beirut, Beirut",18000                        ,Apartment,220,3,2
"Jbeil, Jbeil, Mount Lebanon",3600                        ,Office,50,1,N/A
"Achrafieh, Beirut, Beirut",66000                        ,Apartment,555,3,4
"Haret Sakher, Kesrouane, Mount Lebanon",4800                        ,Apartment,120,2,2
"Mkalles, El Metn, Mount Lebanon",68500                        ,Office,750,1,N/A
"Mkalles, El Metn, Mount Lebanon",8000                        ,Office,100,1,N/A
"Ain Saadeh, El Metn, Mount Lebanon",15000                        ,Apartment,250,4,3
"Batroun, Batroun, North",25000                        ,Shop,200,4,N/A
"Mtayleb, El Metn, Mount Lebanon",21600                        ,Apartment,300,4,2
"Chekka, Batroun, North",60000                        ,Warehouse,700,4,N/A
"Achrafieh, Beirut, Beirut",21600                        ,Apartment,100,1,2
"Achrafieh, Beirut, Beirut",24000                        ,Apartment,129,1,2
"Mtayleb, El Metn, Mount Lebanon",19200                        ,Apartment,300,4,2
"Mtayleb, El Metn, Mount Lebanon",24000                        ,Apartment,220,3,3
"Jbeil, Jbeil, Mount Lebanon",12000                        ,House/Villa,310,4,4
"Batroun, Batroun, North",30000                        ,Shop,129,N/A,N/A
"Batroun, Batroun, North",30000                        ,Shop,124,N/A,N/A
"Batroun, Batroun, North",30000                        ,Shop,176,N/A,N/A
"Aoukar, El Metn, Mount Lebanon",72000                        ,Residential Building,703,N/A,N/A
"Jounieh, Kesrouane, Mount Lebanon",100000                        ,Commercial Building,2000,N/A,N/A
"Bouchrieh, El Metn, Mount Lebanon",12000                        ,Office,250,3,N/A
"Chiyah, Baabda, Mount Lebanon",280000                        ,Commercial Building,2100,N/A,N/A
"Jounieh, Kesrouane, Mount Lebanon",50000                        ,Shop,200,2,N/A
"Ajaltoun, Kesrouane, Mount Lebanon",9600                        ,Apartment,250,3,2
"Down Town, Beirut, Beirut",85000                        ,Apartment,580,4,4
"Monteverde, El Metn, Mount Lebanon",27600                        ,Apartment,225,3,4
"Tabarja, Kesrouane, Mount Lebanon",100000                        ,Shop,1800,4,N/A
"Down Town, Beirut, Beirut",102000                        ,Office,408,3,N/A
"Down Town, Beirut, Beirut",140500                        ,Shop,400,N/A,N/A
"Down Town, Beirut, Beirut",89000                        ,Shop,255,N/A,N/A
"Down Town, Beirut, Beirut",48000                        ,Shop,104,N/A,N/A
"Horsh Tabet, El Metn, Mount Lebanon",125000                        ,Shop,500,2,N/A
"Kaslik, Kesrouane, Mount Lebanon",15000                        ,Office,145,2,N/A
"kfarhbeib, Kesrouane, Mount Lebanon",21600                        ,Apartment,370,3,4
"Zalka, El Metn, Mount Lebanon",30000                        ,Office,327,2,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon",7200                        ,Apartment,130,2,2
"Achrafieh, Beirut, Beirut",20400                        ,Apartment,300,3,3
"Achrafieh, Beirut, Beirut",9000                        ,Shop,25,N/A,N/A
"Badaro, Beirut, Beirut",30000                        ,Shop,60,1,N/A
"Horsh Tabet, El Metn, Mount Lebanon",95000                        ,Office,500,2,N/A
"Aamchit, Jbeil, Mount Lebanon",8000                        ,Chalet,60,1,1
"Tabarja, Kesrouane, Mount Lebanon",6500                         /Season,Chalet,62,1,1
"Rabweh, El Metn, Mount Lebanon",8400                        ,Apartment,220,3,3
"Sin El Fil, El Metn, Mount Lebanon",75000                        ,Office,370,4,N/A
"Achrafieh, Beirut, Beirut",10800                        ,Apartment,135,3,3
"Zouk Mosbeh, Kesrouane, Mount Lebanon",14400                        ,Warehouse,400,1,N/A
"Adma, Kesrouane, Mount Lebanon",14400                        ,Apartment,160,3,3
"Furn El Chebbak, Baabda, Mount Lebanon",15000                        ,Land,540,N/A,N/A
"Dekweneh, El Metn, Mount Lebanon",70000                        ,Shop,700,1,N/A
"Mansourieh, El Metn, Mount Lebanon",10000                        ,Shop,170,1,N/A
"Mansourieh, El Metn, Mount Lebanon",13000                        ,Shop,207,1,N/A
"Jbeil, Jbeil, Mount Lebanon",6000                        ,Shop,90,2,N/A
"Achrafieh, Beirut, Beirut",10800                        ,Apartment,96,2,3
"Roumie, El Metn, Mount Lebanon",8400                        ,Shop,147,1,N/A
"Sarba, Kesrouane, Mount Lebanon",7200                        ,Apartment,180,3,3
"Haret Sakher, Kesrouane, Mount Lebanon",6600                        ,Apartment,190,3,3
"Aamchit, Jbeil, Mount Lebanon",4800                        ,Shop,125,1,N/A
"Kfour, Kesrouane, Mount Lebanon",24000                        ,Apartment,800,4,5
"Mayrouba, Kesrouane, Mount Lebanon",30000                        ,House/Villa,400,4,4
"Antelias, El Metn, Mount Lebanon",350000                        ,Land,6000,N/A,N/A
"Halat, Jbeil, Mount Lebanon",33000                        ,Warehouse,551,N/A,N/A
"Halat, Jbeil, Mount Lebanon",53000                        ,Shop,647,N/A,N/A
"Jdeideh, El Metn, Mount Lebanon",6600                        ,Office,50,1,N/A
"Ras Beirut, Beirut, Beirut",54000                        ,Shop,340,2,N/A
"Ras Beirut, Beirut, Beirut",35000                        ,Shop,220,2,N/A
"Ras Beirut, Beirut, Beirut",84000                        ,Shop,235,2,N/A
"Ras Beirut, Beirut, Beirut",63000                        ,Shop,395,2,N/A
"Achrafieh, Beirut, Beirut",17400                        ,Apartment,80,1,2
"Zouk Mosbeh, Kesrouane, Mount Lebanon",150000                        ,Warehouse,2000,2,N/A
"Adonis, Kesrouane, Mount Lebanon",9600                        ,Apartment,220,2,4
"Ras Beirut, Beirut, Beirut",260000                        ,Office,2160,8,N/A
"Ras Beirut, Beirut, Beirut",19200                        ,Office,160,2,N/A
"Ras Beirut, Beirut, Beirut",19200                        ,Office,160,1,N/A
"Ras Beirut, Beirut, Beirut",8400                        ,Office,70,1,N/A
"Ras Beirut, Beirut, Beirut",10800                        ,Office,90,1,N/A
"Mkalles, El Metn, Mount Lebanon",27000                        ,Shop,339,1,N/A
"Mkalles, El Metn, Mount Lebanon",41000                        ,Shop,331,1,N/A
"Mkalles, El Metn, Mount Lebanon",12000                        ,Office,150,1,N/A
"Baabda, Baabda, Mount Lebanon",18000                        ,Apartment,320,3,2
"Batroun, Batroun, North",4800                        ,Apartment,40,1,1
"Jbeil, Jbeil, Mount Lebanon",12000                        ,Office,103,1,N/A
"Dekweneh, El Metn, Mount Lebanon",5400                        ,Office,65,N/A,N/A
"Achrafieh, Beirut, Beirut",30000                        ,Apartment,300,3,3
"Achrafieh, Beirut, Beirut",30000                        ,Apartment,300,3,3
"Ras Beirut, Beirut, Beirut",35000                        ,Office,250,3,N/A
"Ras Beirut, Beirut, Beirut",54000                        ,Office,450,4,N/A
"Jbeil, Jbeil, Mount Lebanon",18000                        ,Shop,225,3,N/A
"Kaslik, Kesrouane, Mount Lebanon",36000                        ,Shop,350,2,N/A
"Zalka, El Metn, Mount Lebanon",18000                        ,Land,1700,N/A,N/A
"Jdeideh, El Metn, Mount Lebanon",72000                        ,Shop,1900,N/A,N/A
"Batroun, Batroun, North",12000                        ,Shop,75,1,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon",12000                        ,Shop,200,1,N/A
"Kaslik, Kesrouane, Mount Lebanon",60000                        ,Shop,400,1,N/A
"Kaslik, Kesrouane, Mount Lebanon",36000                        ,Shop,200,1,N/A
"Kaslik, Kesrouane, Mount Lebanon",30000                        ,Warehouse,200,1,N/A
"Jbeil, Jbeil, Mount Lebanon",4800                        ,Apartment,170,2,1
"Tabarja, Kesrouane, Mount Lebanon",14400                        ,House/Villa,75,1,1
"Blat, Jbeil, Mount Lebanon",12000                        ,Shop,108,2,N/A
"Adma, Kesrouane, Mount Lebanon",12000                        ,Apartment,350,4,4
"Zalka, El Metn, Mount Lebanon",12000                        ,Office,120,1,N/A
"Adma, Kesrouane, Mount Lebanon",18000                        ,Apartment,250,3,5
"Mar Takla, Baabda, Mount Lebanon",40000                        ,Apartment,380,4,6
"Zouk Mikael, Kesrouane, Mount Lebanon",12000                        ,Warehouse,300,1,N/A
"Down Town, Beirut, Beirut",35000                        ,Apartment,228,3,4
"Down Town, Beirut, Beirut",200000                        ,Office,935,3,N/A
"Naccache, El Metn, Mount Lebanon",15000                        ,Warehouse,500,1,N/A
"Dbayeh, El Metn, Mount Lebanon",12000                        ,Office,97,1,N/A
"Achrafieh, Beirut, Beirut",24000                        ,Office,150,2,N/A
"Kaslik, Kesrouane, Mount Lebanon",44000                        ,Office,320,3,N/A
"Tabarja, Kesrouane, Mount Lebanon",18000                        ,Chalet,80,2,1
"Batroun, Batroun, North",12000                        ,Shop,46,1,N/A
"Ghazir, Kesrouane, Mount Lebanon",4200                        ,Shop,20,1,N/A
"Ghazir, Kesrouane, Mount Lebanon",4800                        ,Shop,20,1,N/A
"Ghazir, Kesrouane, Mount Lebanon",6000                        ,Shop,20,1,N/A
"Jounieh, Kesrouane, Mount Lebanon",21000                        ,Apartment,300,3,4
"Mazraat Yachouh, El Metn, Mount Lebanon",8400                        ,Office,90,1,N/A
"Zalka, El Metn, Mount Lebanon",1800                        ,Office,50,1,N/A
"Mar Takla, Baabda, Mount Lebanon",21600                        ,Apartment,350,3,3
"Zalka, El Metn, Mount Lebanon",12000                        ,Office,150,1,N/A
"Ras Beirut, Beirut, Beirut",18000                        ,Apartment,170,3,3
"Tilal Ain Saade, El Metn, Mount Lebanon",10800                        ,Apartment,240,3,5
"Bouchrieh, El Metn, Mount Lebanon",3600                        ,Office,55,1,N/A
"Bouchrieh, El Metn, Mount Lebanon",4200                        ,Office,88,1,N/A
"Jbeil, Jbeil, Mount Lebanon",18000                        ,Apartment,180,3,4
"Ras Beirut, Beirut, Beirut",24000                        ,Apartment,280,3,3
"Achrafieh, Beirut, Beirut",16000                        ,Office,160,2,N/A
"Achrafieh, Beirut, Beirut",30000                        ,Apartment,180,3,3
"Sin El Fil, El Metn, Mount Lebanon",10560                        ,Apartment,88,1,2
"Badaro, Beirut, Beirut",26400                        ,Apartment,350,3,6
"Antelias, El Metn, Mount Lebanon",8000                        ,Office,75,1,N/A
"Mansourieh, El Metn, Mount Lebanon",7500                        ,Apartment,130,2,2
"Achrafieh, Beirut, Beirut",20000                        ,Office,170,2,N/A
"kfarhbeib, Kesrouane, Mount Lebanon",24000                        ,Land,2200,N/A,N/A
"Achrafieh, Beirut, Beirut",8400                        ,Office,50,1,N/A
"Dbayeh, El Metn, Mount Lebanon",9600                        ,Office,85,1,N/A
"Berj Hammoud, El Metn, Mount Lebanon",9000                        ,Office,140,1,N/A
"Down Town, Beirut, Beirut",15000                        ,Office,100,1,N/A
"Mkalles, El Metn, Mount Lebanon",24000                        ,Shop,150,1,N/A
"Dbayeh, El Metn, Mount Lebanon",35000                        ,Office,270,N/A,N/A
"Mansourieh, El Metn, Mount Lebanon",19200                        ,Shop,166,1,N/A
"Aamchit, Jbeil, Mount Lebanon",15000                        ,Land,500,N/A,N/A
"Faraya, Kesrouane, Mount Lebanon",9000                        ,Chalet,90,2,1
"Dbayeh, El Metn, Mount Lebanon",32000                        ,Office,270,2,N/A
"Dbayeh, El Metn, Mount Lebanon",18000                        ,Shop,120,1,N/A
"Ras Beirut, Beirut, Beirut",75000                        ,Shop,255,1,N/A
"Bouchrieh, El Metn, Mount Lebanon",6000                        ,Office,90,1,N/A
"Thoum, Batroun, North",18000                        ,Apartment,300,3,3
"Sahel Alma, Kesrouane, Mount Lebanon",10800                        ,Apartment,150,2,2
"Achrafieh, Beirut, Beirut",70000                        ,Office,550,4,N/A
"Ras Beirut, Beirut, Beirut",15600                        ,Apartment,170,3,3
"Zouk Mikael, Kesrouane, Mount Lebanon",5400                        ,Shop,80,1,N/A
"Sahel Alma, Kesrouane, Mount Lebanon",9600                        ,Apartment,230,3,3
"Fatqa, Kesrouane, Mount Lebanon",13000                        ,Apartment,245,4,4
"Achrafieh, Beirut, Beirut",66000                        ,Warehouse,750,8,N/A
"Achrafieh, Beirut, Beirut",24000                        ,Warehouse,180,3,N/A
"Kaslik, Kesrouane, Mount Lebanon",18000                        ,Shop,100,2,N/A
"Ghadir, Kesrouane, Mount Lebanon",12000                        ,Office,600,4,N/A
"Jbeil, Jbeil, Mount Lebanon",7200                        ,Office,110,1,N/A
"Adma, Kesrouane, Mount Lebanon",9000                        ,Apartment,155,2,2
"Ras Beirut, Beirut, Beirut",12000                        ,Shop,52,1,N/A
"Mansourieh, El Metn, Mount Lebanon",6600                        ,Shop,96,1,N/A
"Batroun, Batroun, North",8400                        ,House/Villa,150,2,2
"Down Town, Beirut, Beirut",13200                        ,Office,130,3,N/A
"Ras Beirut, Beirut, Beirut",120000                        ,Shop,550,2,N/A
"Mansourieh, El Metn, Mount Lebanon",21000                        ,Shop,178,1,N/A
"Antelias, El Metn, Mount Lebanon",15600                        ,Office,170,2,N/A
"Down Town, Beirut, Beirut",5400                        ,Office,53,2,N/A
"Down Town, Beirut, Beirut",24000                        ,Apartment,160,2,3
"Achrafieh, Beirut, Beirut",24000                        ,Warehouse,450,1,N/A
"Achrafieh, Beirut, Beirut",18000                        ,Apartment,170,2,3
"Mansourieh, El Metn, Mount Lebanon",7800                        ,Apartment,162,3,2
"Dbayeh, El Metn, Mount Lebanon",18000                        ,Land,1156,N/A,N/A
"Dekweneh, El Metn, Mount Lebanon",6500                        ,Office,65,1,N/A
"Halat, Jbeil, Mount Lebanon",6000                        ,Chalet,45,1,N/A
"Antelias, El Metn, Mount Lebanon",15600                        ,Office,80,1,N/A
"Batroun, Batroun, North",24000                        ,Land,3227,N/A,N/A
"Laqlouq, Jbeil, Mount Lebanon",15000                        ,Chalet,220,3,5
"Jbeil, Jbeil, Mount Lebanon",24000                        ,House/Villa,250,3,2
"Ras Beirut, Beirut, Beirut",45000                        ,Land,939,N/A,N/A
"Dbayeh, El Metn, Mount Lebanon",10200                        ,Office,56,N/A,N/A
"Dik El Mehdi, El Metn, Mount Lebanon",6000                        ,Apartment,55,1,1
"Dik El Mehdi, El Metn, Mount Lebanon",13200                        ,Apartment,250,3,4
"Mansourieh, El Metn, Mount Lebanon",48000                        ,Land,4000,N/A,N/A
"Down Town, Beirut, Beirut",20000                        ,Apartment,80,1,1
"Dbayeh, El Metn, Mount Lebanon",26400                        ,Office,220,N/A,N/A
"Dbayeh, El Metn, Mount Lebanon",48000                        ,Office,340,4,N/A
"Dbayeh, El Metn, Mount Lebanon",40800                        ,Office,340,4,N/A
"Sahel Alma, Kesrouane, Mount Lebanon",11000                        ,Apartment,192,3,3
"Down Town, Beirut, Beirut",440000                        ,Shop,650,N/A,N/A
"Faraya, Kesrouane, Mount Lebanon",9000                        ,Chalet,90,2,1
"Ras Beirut, Beirut, Beirut",38000                        ,Apartment,420,3,4
"Ras Beirut, Beirut, Beirut",45000                        ,Apartment,468,3,4
"Chekka, Batroun, North",150000                        ,Shop,4000,N/A,N/A
"Kfarzebian, Kesrouane, Mount Lebanon",18000                        ,Chalet,110,2,2
"kfarhbeib, Kesrouane, Mount Lebanon",9600                        ,Apartment,185,3,2
"Sin El Fil, El Metn, Mount Lebanon",36000                        ,Office,200,2,N/A
"Zalka, El Metn, Mount Lebanon",10800                        ,Office,87,2,N/A
"kfarhbeib, Kesrouane, Mount Lebanon",12000                        ,Apartment,200,3,3
"Achrafieh, Beirut, Beirut",22000                        ,Apartment,285,3,4
"Zouk Mikael, Kesrouane, Mount Lebanon",8400                        ,Shop,85,1,N/A
"Down Town, Beirut, Beirut",75000                        ,Commercial Building,440,N/A,N/A
"Down Town, Beirut, Beirut",72000                        ,Office,389,6,2
"Down Town, Beirut, Beirut",36000                        ,Office,200,2,N/A
"Down Town, Beirut, Beirut",160000                        ,Shop,867,4,1
"Down Town, Beirut, Beirut",285000                        ,Shop,972,1,N/A
"Bouchrieh, El Metn, Mount Lebanon",18000                        ,Office,250,3,N/A
"Monteverde, El Metn, Mount Lebanon",48000                        ,Apartment,270,4,3
"Down Town, Beirut, Beirut",45000                        ,Apartment,200,2,3
"Down Town, Beirut, Beirut",174000                        ,Office,1200,2,N/A
"Nahr El Mot, El Metn, Mount Lebanon",90000                        ,Land,2042,3,N/A
"Nahr El Mot, El Metn, Mount Lebanon",36000                        ,Office,350,3,N/A
"Monsef, Jbeil, Mount Lebanon",18000                        ,Land,3100,N/A,N/A
"Mezher, El Metn, Mount Lebanon",8400                        ,Apartment,145,2,3
"Jbeil, Jbeil, Mount Lebanon",14400                        ,Apartment,185,3,3
"Jbeil, Jbeil, Mount Lebanon",4800                        ,Land,980,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",36000                        ,Land,4000,N/A,N/A
"Aamchit, Jbeil, Mount Lebanon",26500                        ,Land,1800,N/A,N/A
"Horsh Tabet, El Metn, Mount Lebanon",5400                        ,Office,50,1,N/A
"Hazmieh, Baabda, Mount Lebanon",12000                        ,Apartment,120,2,3
"Batroun, Batroun, North",20400                        ,Apartment,200,2,2
"Batroun, Batroun, North",5400                        ,Office,40,1,N/A
"Achrafieh, Beirut, Beirut",6000                        ,Office,50,1,N/A
"Down Town, Beirut, Beirut",100000                        ,Shop,502,1,N/A
"Faraya, Kesrouane, Mount Lebanon",24000                        ,House/Villa,320,5,5
"Jal el Dib, El Metn, Mount Lebanon",120000                        ,Shop,1600,N/A,N/A
"Ras Beirut, Beirut, Beirut",14400                        ,Office,49,1,N/A
"Achrafieh, Beirut, Beirut",45000                        ,Apartment,420,3,4
"Ras Beirut, Beirut, Beirut",60000                        ,Office,600,4,N/A
"Jbeil, Jbeil, Mount Lebanon",4200                        ,Office,65,1,N/A
"Jal el Dib, El Metn, Mount Lebanon",8400                        ,Apartment,120,3,3
"Safra, Kesrouane, Mount Lebanon",13200                        ,Apartment,130,2,3
"Fatqa, Kesrouane, Mount Lebanon",3600                        ,Office,60,1,N/A
"Yarzeh, Baabda, Mount Lebanon",33000                        ,Apartment,230,3,5
"Achrafieh, Beirut, Beirut",18000                        ,Apartment,190,2,3
"Jbeil, Jbeil, Mount Lebanon",60000                        ,Commercial Building,2300,N/A,N/A
"Achrafieh, Beirut, Beirut",18000                        ,Apartment,150,2,3
"Jal el Dib, El Metn, Mount Lebanon",9600                        ,Office,150,2,N/A
"Mtayleb, El Metn, Mount Lebanon",15000                        ,Warehouse,500,1,N/A
"Sahel Alma, Kesrouane, Mount Lebanon",24000                        ,Apartment,300,3,5
"Down Town, Beirut, Beirut",24000                        ,Apartment,115,1,2
"Ras Beirut, Beirut, Beirut",15600                        ,Apartment,160,3,3
"Rabieh, El Metn, Mount Lebanon",36000                        ,Apartment,350,4,5
"Laqlouq, Jbeil, Mount Lebanon",7000                        ,Chalet,240,3,4
"Kfarzebian, Kesrouane, Mount Lebanon",15000                        ,Chalet,100,2,2
"Fakra, Kesrouane, Mount Lebanon",6000                        ,Chalet,45,1,1
"Fakra, Kesrouane, Mount Lebanon",10000                        ,Chalet,90,2,3
"Ouyoun Al Simen, Kesrouane, Mount Lebanon",12000                        ,Chalet,130,3,3
"Baabdat, El Metn, Mount Lebanon",72000                        ,House/Villa,650,4,5
"Ras Beirut, Beirut, Beirut",24000                        ,Apartment,160,2,3
"Ghazir, Kesrouane, Mount Lebanon",150000                        ,Shop,670,N/A,N/A
"Qartaboun, Jbeil, Mount Lebanon",6000                        ,Warehouse,100,N/A,N/A
"Achrafieh, Beirut, Beirut",8400                        ,Apartment,90,2,1
"Kfaryassine, Kesrouane, Mount Lebanon",12000                        ,Apartment,260,3,3
"Jnah, Beirut, Beirut",31000                        ,Apartment,250,3,4
"Jeita, Kesrouane, Mount Lebanon",15000                        ,House/Villa,1100,5,5
"Kfaryassine, Kesrouane, Mount Lebanon",12000                        ,Apartment,250,3,4
"Mtayleb, El Metn, Mount Lebanon",36000                        ,Shop,1400,9,N/A
"Achrafieh, Beirut, Beirut",7200                        ,Apartment,90,2,1
"Achrafieh, Beirut, Beirut",36000                        ,Apartment,350,3,4
"Achrafieh, Beirut, Beirut",24000                        ,Apartment,200,3,3
"Zouk Mosbeh, Kesrouane, Mount Lebanon",24000                        ,Land,1021,N/A,N/A
"Sahel Alma, Kesrouane, Mount Lebanon",18000                        ,Apartment,270,3,3
"Sin El Fil, El Metn, Mount Lebanon",500000                        ,Commercial Building,3000,9,N/A
"Down Town, Beirut, Beirut",50000                        ,Apartment,450,3,3
"Aatchane, El Metn, Mount Lebanon",13000                        ,Apartment,160,2,3
"Achrafieh, Beirut, Beirut",15600                        ,Apartment,230,3,3
"Achrafieh, Beirut, Beirut",18000                        ,Office,103,2,N/A
"Down Town, Beirut, Beirut",30000                        ,Office,100,1,N/A
"Ras Beirut, Beirut, Beirut",18000                        ,Shop,75,N/A,N/A
"Ras Beirut, Beirut, Beirut",22800                        ,Apartment,280,4,4
"Kaslik, Kesrouane, Mount Lebanon",9600                        ,Shop,100,1,N/A
"Antelias, El Metn, Mount Lebanon",6000                        ,Apartment,100,2,2
"Ras Beirut, Beirut, Beirut",16800                        ,Office,90,1,N/A
"Bouchrieh, El Metn, Mount Lebanon",60000                        ,Shop,340,N/A,N/A
"Bouchrieh, El Metn, Mount Lebanon",19000                        ,Office,125,1,N/A
"Bouchrieh, El Metn, Mount Lebanon",14000                        ,Office,105,1,N/A
"kfarhbeib, Kesrouane, Mount Lebanon",20000                        ,Apartment,300,3,4
"Antelias, El Metn, Mount Lebanon",8400                        ,Shop,100,2,N/A
"Antelias, El Metn, Mount Lebanon",6600                        ,Shop,80,2,N/A
"Baabda, Baabda, Mount Lebanon",44400                        ,Apartment,400,3,4
"Baabda, Baabda, Mount Lebanon",22000                        ,Apartment,300,3,4
"Dekweneh, El Metn, Mount Lebanon",9600                        ,Apartment,300,3,3
"Halat, Jbeil, Mount Lebanon",7200                        ,Apartment,300,4,4
"Achrafieh, Beirut, Beirut",19200                        ,Apartment,160,3,2
"Achrafieh, Beirut, Beirut",24000                        ,Office,400,3,N/A
"Halat, Jbeil, Mount Lebanon",6000                        ,Apartment,52,1,1
"Biyada, El Metn, Mount Lebanon",15000                        ,Apartment,350,4,4
"Achrafieh, Beirut, Beirut",12000                        ,Shop,64,1,N/A
"Dekweneh, El Metn, Mount Lebanon",8400                        ,Office,65,1,N/A
"Ras Beirut, Beirut, Beirut",24000                        ,Apartment,290,3,3
"Jounieh, Kesrouane, Mount Lebanon",36000                        ,Shop,260,2,N/A
"Achrafieh, Beirut, Beirut",18000                        ,Office,200,3,N/A
"Yarzeh, Baabda, Mount Lebanon",18000                        ,Apartment,168,2,3
"Adma, Kesrouane, Mount Lebanon",12000                        ,Apartment,160,3,3
"Fidar, Jbeil, Mount Lebanon",29000                        ,Land,2370,N/A,N/A
"Bsalim, El Metn, Mount Lebanon",18000                        ,Office,240,3,N/A
"Mtayleb, El Metn, Mount Lebanon",30000                        ,Apartment,235,3,3
"Mtayleb, El Metn, Mount Lebanon",18000                        ,Apartment,200,3,5
"Achrafieh, Beirut, Beirut",60000                        ,Apartment,300,3,4
"Mazraat Yachouh, El Metn, Mount Lebanon",10800                        ,Apartment,205,3,4
"Achrafieh, Beirut, Beirut",25500                        ,Apartment,180,2,3
"Jbeil, Jbeil, Mount Lebanon",8400                        ,Apartment,185,3,3
"Baabda, Baabda, Mount Lebanon",24000                        ,Apartment,185,3,4
"Antelias, El Metn, Mount Lebanon",18000                        ,Shop,220,1,N/A
