Address,Price,Type,Size,Bedrooms,Bathrooms
"Louaize, Baabda, Mount Lebanon","$12,000                         /Year",Office,120 m²,1,N/A
"Achrafieh, Beirut, Beirut","$26,400                         /Year",Apartment,385 m²,4,4
"Mansourieh, El Metn, Mount Lebanon","$15,600                         /Year",Apartment,240 m²,2,4
"Mansourieh, El Metn, Mount Lebanon","$14,400                         /Year",Apartment,250 m²,3,4
"Adma, Kesrouane, Mount Lebanon","$12,000                         /Year",Apartment,300 m²,4,4
"Adma, Kesrouane, Mount Lebanon","$14,000                         /Year",Apartment,300 m²,4,4
"Kaslik, Kesrouane, Mount Lebanon","$16,000                         /Year",Apartment,85 m²,2,2
"Kaslik, Kesrouane, Mount Lebanon","$13,000                         /Year",Chalet,70 m²,1,1
"Achrafieh, Beirut, Beirut","$24,000                         /Year",Apartment,240 m²,3,3
"Achrafieh, Beirut, Beirut","$30,000                         /Year",Apartment,178 m²,3,3
"Badaro, Beirut, Beirut","$6,000                         /Year",Office,50 m²,1,N/A
"Achrafieh, Beirut, Beirut","$12,000                         /Year",Apartment,120 m²,2,2
"Achrafieh, Beirut, Beirut","$14,400                         /Year",Apartment,150 m²,3,2
"Jbeil, Jbeil, Mount Lebanon","$4,800                         /Year",Apartment,140 m²,2,1
"Kornet Chehwan, El Metn, Mount Lebanon","$24,000                         /Year",Apartment,540 m²,4,5
"Fiyadiye, Baabda, Mount Lebanon","$12,000                         /Year",Apartment,130 m²,2,3
"Achrafieh, Beirut, Beirut","$15,600                         /Year",Apartment,115 m²,2,2
"Achrafieh, Beirut, Beirut","$24,000                         /Year",Office,95 m²,1,N/A
"Halat, Jbeil, Mount Lebanon","$6,600                         /Year",Apartment,140 m²,3,3
"Aoukar, El Metn, Mount Lebanon","$8,400                         /Year",Apartment,170 m²,3,2
"Aoukar, El Metn, Mount Lebanon","$9,600                         /Year",Apartment,110 m²,2,2
"Nahr Ibrahim, Jbeil, Mount Lebanon","$7,200                         /Year",Apartment,160 m²,2,2
"Jbeil, Jbeil, Mount Lebanon","$6,000                         /Year",Office,100 m²,1,N/A
"Zalka, El Metn, Mount Lebanon","$8,400                         /Year",Office,100 m²,1,N/A
"Jounieh, Kesrouane, Mount Lebanon","$15,000                         /Year",Shop,140 m²,1,N/A
"Sahel Alma, Kesrouane, Mount Lebanon","$15,000                         /Year",Apartment,200 m²,3,3
"Achrafieh, Beirut, Beirut","$14,400                         /Year",Apartment,135 m²,2,2
"Jal el Dib, El Metn, Mount Lebanon","$5,400                         /Year",Shop,50 m²,3,N/A
"Zalka, El Metn, Mount Lebanon","$8,400                         /Year",Office,100 m²,1,N/A
"Achrafieh, Beirut, Beirut","$10,800                         /Year",Apartment,138 m²,2,1
"Achrafieh, Beirut, Beirut","$14,400                         /Year",Apartment,160 m²,2,4
"Ain Al Remmane, Baabda, Mount Lebanon","$13,200                         /Year",Apartment,300 m²,3,3
"Achrafieh, Beirut, Beirut","$12,000                         /Year",Apartment,55 m²,1,1
"Achrafieh, Beirut, Beirut","$15,000                         /Year",Apartment,145 m²,3,2
"Jbeil, Jbeil, Mount Lebanon","$18,000                         /Year",Shop,150 m²,1,N/A
"Kaslik, Kesrouane, Mount Lebanon","$5,000                         /Year",Chalet,25 m²,1,N/A
"Badaro, Beirut, Beirut","$24,000                         /Year",Apartment,200 m²,3,2
"Jounieh, Kesrouane, Mount Lebanon","$3,600                         /Year",Office,45 m²,1,N/A
"Antelias, El Metn, Mount Lebanon","$22,000                         /Year",Office,160 m²,2,N/A
"Ouyoun Al Simen, Kesrouane, Mount Lebanon","$19,200                         /Year",Chalet,140 m²,3,2
"Jbeil, Jbeil, Mount Lebanon","$6,600                         /Year",Apartment,90 m²,2,2
"Jbeil, Jbeil, Mount Lebanon","$4,200                         /Year",Apartment,130 m²,2,2
"Fidar, Jbeil, Mount Lebanon","$24,000                         /Year",Land,"5,000 m²",N/A,N/A
"Ras Beirut, Beirut, Beirut","$14,400                         /Year",Apartment,120 m²,3,2
"Ras Beirut, Beirut, Beirut","$15,600                         /Year",Apartment,165 m²,3,3
"Down Town, Beirut, Beirut","$40,000                         /Year",Apartment,275 m²,3,3
"Jal el Dib, El Metn, Mount Lebanon","$7,200                         /Year",Office,80 m²,1,N/A
"Yarzeh, Baabda, Mount Lebanon","$50,000                         /Year",Apartment,500 m²,5,6
"Rabieh, El Metn, Mount Lebanon","$30,000                         /Year",Apartment,300 m²,4,5
"Jouret Al Ballout, El Metn, Mount Lebanon","$30,000                         /Year",House/Villa,400 m²,4,5
"Ras Beirut, Beirut, Beirut","$15,600                         /Year",Apartment,190 m²,3,2
"Jal el Dib, El Metn, Mount Lebanon","$8,400                         /Year",Office,100 m²,1,N/A
"Ouyoun Al Simen, Kesrouane, Mount Lebanon","$12,000                         /Year",Chalet,80 m²,2,2
"Monteverde, El Metn, Mount Lebanon","$12,000                         /Year",Apartment,180 m²,3,3
"Achrafieh, Beirut, Beirut","$20,400                         /Year",Apartment,120 m²,2,2
"Edde, Jbeil, Mount Lebanon","$8,400                         /Year",Apartment,120 m²,3,2
"Hboub, Jbeil, Mount Lebanon","$5,400                         /Year",Apartment,125 m²,2,2
"Jbeil, Jbeil, Mount Lebanon","$10,800                         /Year",Apartment,220 m²,3,4
"Achrafieh, Beirut, Beirut","$13,200                         /Year",Apartment,100 m²,2,3
"Jbeil, Jbeil, Mount Lebanon","$15,000                         /Year",Office,250 m²,2,N/A
"Dbayeh, El Metn, Mount Lebanon","$270,000                         /Year",Land,"4,500 m²",N/A,N/A
"Naccache, El Metn, Mount Lebanon","$70,000                         /Year",Land,"2,070 m²",N/A,N/A
"Kfarzebian, Kesrouane, Mount Lebanon","$60,000                         /Year",Chalet,400 m²,4,6
"Mansourieh, El Metn, Mount Lebanon","$8,400                         /Year",Apartment,120 m²,2,2
"Achrafieh, Beirut, Beirut","$13,200                         /Year",Apartment,80 m²,1,1
"Ajaltoun, Kesrouane, Mount Lebanon","$6,000                         /Year",Apartment,90 m²,2,1
"kfarhbeib, Kesrouane, Mount Lebanon","$7,200                         /Year",Apartment,200 m²,3,4
"Achrafieh, Beirut, Beirut","$24,000                         /Year",Office,80 m²,1,N/A
"Kaslik, Kesrouane, Mount Lebanon","$4,800                         /Year",Chalet,25 m²,1,N/A
"Batroun, Batroun, North","$12,000                         /Year",Apartment,90 m²,2,2
"Bouchrieh, El Metn, Mount Lebanon","$200,000                         /Year",Shop,800 m²,3,N/A
"Naccache, El Metn, Mount Lebanon","$9,600                         /Year",Apartment,190 m²,2,2
"Dbayeh, El Metn, Mount Lebanon","$54,000                         /Year",Office,325 m²,2,N/A
"Dbayeh, El Metn, Mount Lebanon","$30,000                         /Year",Office,135 m²,1,N/A
"Achrafieh, Beirut, Beirut","$15,600                         /Year",Apartment,220 m²,3,3
"Achkout, Kesrouane, Mount Lebanon","$9,000                         /Year",Apartment,140 m²,2,2
"Kaslik, Kesrouane, Mount Lebanon","$7,200                         /Year",Apartment,210 m²,3,3
"Kaslik, Kesrouane, Mount Lebanon","$7,200                         /Year",Apartment,100 m²,2,3
"Baabdat, El Metn, Mount Lebanon","$8,400                         /Year",Apartment,130 m²,2,2
"Dik El Mehdi, El Metn, Mount Lebanon","$300,000                         /Year",Commercial Building,"5,000 m²",N/A,N/A
"Achrafieh, Beirut, Beirut","$9,600                         /Year",Apartment,150 m²,2,2
"Fakra, Kesrouane, Mount Lebanon","$24,000                         /Year",Chalet,123 m²,2,2
"Bouchrieh, El Metn, Mount Lebanon","$42,000                         /Year",Office,360 m²,2,N/A
"Jbeil, Jbeil, Mount Lebanon","$10,800                         /Year",Warehouse,375 m²,1,N/A
"Dik El Mehdi, El Metn, Mount Lebanon","$30,000                         /Year",Apartment,350 m²,4,5
"Edde, Jbeil, Mount Lebanon","$70,000                         /Year",Commercial Building,"1,000 m²",4,N/A
"Dekweneh, El Metn, Mount Lebanon","$18,000                         /Year",Office,95 m²,1,N/A
"Dora, El Metn, Mount Lebanon","$8,400                         /Year",Office,75 m²,1,N/A
"Koura, Koura, North","$110,000                         /Year",Land,"15,121 m²",N/A,N/A
"Dik El Mehdi, El Metn, Mount Lebanon","$20,400                         /Year",Apartment,345 m²,4,5
"Kornet Chehwan, El Metn, Mount Lebanon","$4,800                         /Year",Office,60 m²,1,N/A
"Achrafieh, Beirut, Beirut","$36,000                         /Year",Apartment,180 m²,3,3
"Jbeil, Jbeil, Mount Lebanon","$7,200                         /Year",Apartment,100 m²,2,2
"Hboub, Jbeil, Mount Lebanon","$8,400                         /Year",Apartment,270 m²,3,4
"Dbayeh, El Metn, Mount Lebanon","$90,000                         /Year",Shop,300 m²,2,N/A
"Kaslik, Kesrouane, Mount Lebanon","$36,000                         /Year",Shop,226 m²,2,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon","$33,000                         /Year",Shop,850 m²,2,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon","$42,000                         /Year",Shop,850 m²,2,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon","$30,000                         /Year",Warehouse,"1,350 m²",2,N/A
"Kfarzebian, Kesrouane, Mount Lebanon","$13,000                         /Year",Chalet,100 m²,2,1
"Zouk Mikael, Kesrouane, Mount Lebanon","$8,400                         /Year",Apartment,140 m²,3,3
"Zouk Mikael, Kesrouane, Mount Lebanon","$12,000                         /Year",Land,400 m²,N/A,N/A
"Kaslik, Kesrouane, Mount Lebanon","$60,000                         /Year",Shop,400 m²,2,N/A
"kfarhbeib, Kesrouane, Mount Lebanon","$9,600                         /Year",Apartment,220 m²,3,3
"Batroun, Batroun, North","$42,000                         /Year",House/Villa,500 m²,5,5
"Dekweneh, El Metn, Mount Lebanon","$24,000                         /Year",Shop,220 m²,2,N/A
"Jbeil, Jbeil, Mount Lebanon","$12,000                         /Year",Warehouse,600 m²,1,N/A
"Mazraat Yachouh, El Metn, Mount Lebanon","$9,000                         /Year",Apartment,150 m²,3,3
"Horsh Tabet, El Metn, Mount Lebanon","$25,000                         /Year",Office,140 m²,3,N/A
"Dbayeh, El Metn, Mount Lebanon","$18,000                         /Year",Shop,120 m²,1,N/A
"Zalka, El Metn, Mount Lebanon","$6,000                         /Year",Office,75 m²,1,N/A
"Dora, El Metn, Mount Lebanon","$19,200                         /Year",Shop,250 m²,1,N/A
"Kfaryassine, Kesrouane, Mount Lebanon","$6,000                         /Year",Apartment,130 m²,2,2
"Adma, Kesrouane, Mount Lebanon","$6,000                         /Year",Office,100 m²,1,N/A
"Dbayeh, El Metn, Mount Lebanon","$450,000                         /Year",Land,"3,200 m²",6,N/A
"Dik El Mehdi, El Metn, Mount Lebanon","$6,600                         /Year",Apartment,70 m²,1,1
"Elissar, El Metn, Mount Lebanon","$9,600                         /Year",Apartment,300 m²,4,4
"Achrafieh, Beirut, Beirut","$12,000                         /Year",Apartment,160 m²,3,2
"Halat, Jbeil, Mount Lebanon","$9,600                         /Year",Chalet,37 m²,1,1
"Jal el Dib, El Metn, Mount Lebanon","$9,600                         /Year",Apartment,170 m²,2,2
"Achrafieh, Beirut, Beirut","$8,400                         /Year",Apartment,140 m²,3,1
"Achrafieh, Beirut, Beirut","$6,600                         /Year",Apartment,100 m²,2,1
"Achrafieh, Beirut, Beirut","$12,000                         /Year",Apartment,150 m²,2,1
"Achrafieh, Beirut, Beirut","$60,000                         /Year",Residential Building,"1,100 m²",6,6
"Shayle, Kesrouane, Mount Lebanon","$7,800                         /Year",Apartment,200 m²,3,3
"Jbeil, Jbeil, Mount Lebanon","$6,000                         /Year",Apartment,100 m²,2,2
"Jbeil, Jbeil, Mount Lebanon","$3,600                         /Year",Office,45 m²,1,N/A
"Rabieh, El Metn, Mount Lebanon","$84,000                         /Year",House/Villa,"1,000 m²",7,N/A
"Nahr Ibrahim, Jbeil, Mount Lebanon","$275,000                         /Year",Commercial Building,"3,000 m²",3,N/A
"Nahr Ibrahim, Jbeil, Mount Lebanon","$225,000                         /Year",Shop,"2,000 m²",1,N/A
"Achrafieh, Beirut, Beirut","$9,600                         /Year",Office,300 m²,3,N/A
"Jounieh, Kesrouane, Mount Lebanon","$9,600                         /Year",Apartment,155 m²,3,2
"Ghazir, Kesrouane, Mount Lebanon","$4,800                         /Year",Shop,80 m²,1,N/A
"kfarhbeib, Kesrouane, Mount Lebanon","$4,800                         /Year",Office,50 m²,1,N/A
"Jbeil, Jbeil, Mount Lebanon","$12,000                         /Year",House/Villa,310 m²,4,4
"Achrafieh, Beirut, Beirut","$15,600                         /Year",Apartment,160 m²,3,2
"Achrafieh, Beirut, Beirut","$36,000                         /Year",Shop,300 m²,2,N/A
"Jbeil, Jbeil, Mount Lebanon","$36,000                         /Year",Factory,500 m²,2,N/A
"Jal el Dib, El Metn, Mount Lebanon","$6,000                         /Year",Office,70 m²,1,N/A
"Jbeil, Jbeil, Mount Lebanon","$12,000                         /Year",House/Villa,310 m²,4,4
"Dbayeh, El Metn, Mount Lebanon","$27,000                         /Year",Land,"1,100 m²",N/A,N/A
"Down Town, Beirut, Beirut","$156,000                         /Year",Apartment,740 m²,4,4
"Ghazir, Kesrouane, Mount Lebanon","$7,200                         /Year",Shop,100 m²,1,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon","$9,600                         /Year",Shop,110 m²,1,N/A
"Badaro, Beirut, Beirut","$20,400                         /Year",Apartment,220 m²,3,3
"Achrafieh, Beirut, Beirut","$12,000                         /Year",Apartment,100 m²,2,2
"Jbeil, Jbeil, Mount Lebanon","$120,000                         /Year",Warehouse,"3,150 m²",4,N/A
"Kaslik, Kesrouane, Mount Lebanon","$4,500                         /Season",Chalet,50 m²,1,N/A
"Gherfine, Jbeil, Mount Lebanon","$7,200                         /Year",Apartment,150 m²,2,2
"Achrafieh, Beirut, Beirut","$18,000                         /Year",Apartment,75 m²,1,2
"Zouk Mosbeh, Kesrouane, Mount Lebanon","$6,000                         /Year",Warehouse,200 m²,1,N/A
"Adma, Kesrouane, Mount Lebanon","$8,000                         /Year",Apartment,160 m²,1,N/A
"Qannabet Broumana, El Metn, Mount Lebanon","$6,600                         /Year",Apartment,145 m²,3,3
"Ouyoun Al Simen, Kesrouane, Mount Lebanon","$18,000                         /Year",Apartment,140 m²,3,2
"Halat, Jbeil, Mount Lebanon","$15,600                         /Year",Warehouse,550 m²,1,N/A
"Adma, Kesrouane, Mount Lebanon","$12,000                         /Year",Apartment,300 m²,3,4
"Adma, Kesrouane, Mount Lebanon","$7,200                         /Year",Office,100 m²,1,N/A
"Sahel Alma, Kesrouane, Mount Lebanon","$36,000                         /Year",Shop,750 m²,4,N/A
"Nahr Ibrahim, Jbeil, Mount Lebanon","$9,600                         /Year",Apartment,250 m²,3,3
"Biyada, El Metn, Mount Lebanon","$24,000                         /Year",Apartment,280 m²,3,3
"Dik El Mehdi, El Metn, Mount Lebanon","$14,400                         /Year",Apartment,250 m²,3,4
"Ballouneh, Kesrouane, Mount Lebanon","$7,800                         /Year",Apartment,180 m²,3,4
"Down Town, Beirut, Beirut","$26,250                         /Year",Shop,26 m²,1,N/A
"Achrafieh, Beirut, Beirut","$15,600                         /Year",Apartment,135 m²,2,3
"Ghazir, Kesrouane, Mount Lebanon","$15,600                         /Year",Office,140 m²,3,N/A
"Halat, Jbeil, Mount Lebanon","$18,000                         /Year",Land,"1,700 m²",N/A,N/A
"Achrafieh, Beirut, Beirut","$10,800                         /Year",Apartment,120 m²,2,2
"Jbeil, Jbeil, Mount Lebanon","$13,000                         /Year",Shop,125 m²,1,N/A
"Ras Beirut, Beirut, Beirut","$18,000                         /Year",Shop,100 m²,N/A,N/A
"Achrafieh, Beirut, Beirut","$48,000                         /Year",Land,"1,000 m²",N/A,N/A
"Zouk Mikael, Kesrouane, Mount Lebanon","$7,200                         /Year",Shop,130 m²,1,N/A
"Zouk Mikael, Kesrouane, Mount Lebanon","$6,000                         /Year",Office,120 m²,1,N/A
"Tabarja, Kesrouane, Mount Lebanon","$18,000                         /Year",Chalet,125 m²,2,2
"Kfarzebian, Kesrouane, Mount Lebanon","$18,000                         /Year",Chalet,130 m²,2,2
"Dekweneh, El Metn, Mount Lebanon","$16,800                         /Year",Apartment,200 m²,3,3
"Ajaltoun, Kesrouane, Mount Lebanon","$18,000                         /Year",House/Villa,220 m²,3,3
"Nahr Ibrahim, Jbeil, Mount Lebanon","$6,000                         /Year",Shop,50 m²,1,N/A
"Jounieh, Kesrouane, Mount Lebanon","$7,200                         /Year",Office,70 m²,1,N/A
"Biyada, El Metn, Mount Lebanon","$36,000                         /Year",Apartment,300 m²,3,4
