Date,Transaction_Number,City,Transaction_Value
01/2016,1041,"Baabda, Aley, Chouf",226.395
02/2016,1213,"Baabda, Aley, Chouf",201.465
03/2016,1440,"Baabda, Aley, Chouf",301.443
04/2016,1358,"Baabda, Aley, Chouf",220.442
05/2016,1166,"Baabda, Aley, Chouf",272.838
06/2016,1276,"Baabda, Aley, Chouf",215.574
07/2016,1140,"Baabda, Aley, Chouf",200.455
08/2016,1340,"Baabda, Aley, Chouf",251.0
09/2016,1259,"Baabda, Aley, Chouf",311.641
10/2016,1415,"Baabda, Aley, Chouf",253.662
11/2016,1506,"Baabda, Aley, Chouf",276.353
12/2016,1539,"Baabda, Aley, Chouf",255.869
01/2011,731,"Kesrouan, Jbeil",80.659
02/2011,704,"Kesrouan, Jbeil",111.395
03/2011,964,"Kesrouan, Jbeil",119.069
04/2011,886,"Kesrouan, Jbeil",109.788
05/2011,921,"Kesrouan, Jbeil",122.125
06/2011,913,"Kesrouan, Jbeil",120.925
07/2011,779,"Kesrouan, Jbeil",113.032
08/2011,993,"Kesrouan, Jbeil",136.946
09/2011,1024,"Kesrouan, Jbeil",133.319
10/2011,1111,"Kesrouan, Jbeil",143.112
11/2011,950,"Kesrouan, Jbeil",114.677
12/2011,1272,"Kesrouan, Jbeil",182.054
01/2012,689,"Kesrouan, Jbeil",109.852
02/2012,654,"Kesrouan, Jbeil",95.146
03/2012,823,"Kesrouan, Jbeil",131.82
04/2012,618,"Kesrouan, Jbeil",101.247
05/2012,793,"Kesrouan, Jbeil",126.152
06/2012,785,"Kesrouan, Jbeil",142.168
07/2012,818,"Kesrouan, Jbeil",124.262
08/2012,807,"Kesrouan, Jbeil",116.81
09/2012,792,"Kesrouan, Jbeil",125.813
10/2012,840,"Kesrouan, Jbeil",165.411
11/2012,777,"Kesrouan, Jbeil",104.1
12/2012,1036,"Kesrouan, Jbeil",143.382
01/2013,654,"Kesrouan, Jbeil",106.447
02/2013,542,"Kesrouan, Jbeil",90.707
03/2013,692,"Kesrouan, Jbeil",115.106
04/2013,825,"Kesrouan, Jbeil",125.542
05/2013,766,"Kesrouan, Jbeil",133.566
06/2013,820,"Kesrouan, Jbeil",153.359
07/2013,861,"Kesrouan, Jbeil",166.566
08/2013,772,"Kesrouan, Jbeil",108.859
09/2013,736,"Kesrouan, Jbeil",115.545
10/2013,790,"Kesrouan, Jbeil",135.102
11/2013,810,"Kesrouan, Jbeil",133.925
12/2013,849,"Kesrouan, Jbeil",146.164
01/2014,718,"Kesrouan, Jbeil",105.085
02/2014,703,"Kesrouan, Jbeil",107.202
03/2014,738,"Kesrouan, Jbeil",127.795
04/2014,824,"Kesrouan, Jbeil",140.109
05/2014,741,"Kesrouan, Jbeil",162.739
06/2014,663,"Kesrouan, Jbeil",113.379
07/2014,1141,"Kesrouan, Jbeil",105.27
08/2014,809,"Kesrouan, Jbeil",117.323
09/2014,783,"Kesrouan, Jbeil",130.766
10/2014,849,"Kesrouan, Jbeil",126.206
11/2014,713,"Kesrouan, Jbeil",145.347
12/2014,884,"Kesrouan, Jbeil",174.539
01/2015,481,"Kesrouan, Jbeil",82.792
02/2015,512,"Kesrouan, Jbeil",79.493
03/2015,623,"Kesrouan, Jbeil",107.413
04/2015,625,"Kesrouan, Jbeil",125.46
05/2015,692,"Kesrouan, Jbeil",147.168
06/2015,753,"Kesrouan, Jbeil",157.722
07/2015,665,"Kesrouan, Jbeil",120.439
08/2015,797,"Kesrouan, Jbeil",128.261
09/2015,683,"Kesrouan, Jbeil",141.926
10/2015,773,"Kesrouan, Jbeil",171.997
11/2015,170,"Kesrouan, Jbeil",106.886
12/2015,826,"Kesrouan, Jbeil",145.92
01/2016,579,"Kesrouan, Jbeil",90.79
02/2016,624,"Kesrouan, Jbeil",106.494
03/2016,692,"Kesrouan, Jbeil",115.288
04/2016,593,"Kesrouan, Jbeil",106.945
05/2016,543,"Kesrouan, Jbeil",101.911
06/2016,619,"Kesrouan, Jbeil",103.639
07/2016,606,"Kesrouan, Jbeil",103.101
08/2016,91,"Kesrouan, Jbeil",107.929
09/2016,639,"Kesrouan, Jbeil",89.194
10/2016,748,"Kesrouan, Jbeil",116.232
11/2016,662,"Kesrouan, Jbeil",114.592
12/2016,815,"Kesrouan, Jbeil",166.404
01/2011,621,"Tripoli, Akkar",34.869
02/2011,595,"Tripoli, Akkar",30.049
03/2011,739,"Tripoli, Akkar",32.345
04/2011,633,"Tripoli, Akkar",34.863
05/2011,721,"Tripoli, Akkar",38.696
06/2011,666,"Tripoli, Akkar",32.268
07/2011,686,"Tripoli, Akkar",34.383
08/2011,573,"Tripoli, Akkar",37.597
09/2011,683,"Tripoli, Akkar",35.774
10/2011,755,"Tripoli, Akkar",40.423
11/2011,603,"Tripoli, Akkar",33.097
12/2011,968,"Tripoli, Akkar",42.233
01/2012,633,"Tripoli, Akkar",34.57
02/2012,627,"Tripoli, Akkar",26.729
03/2012,630,"Tripoli, Akkar",43.045
04/2012,546,"Tripoli, Akkar",34.217
05/2012,561,"Tripoli, Akkar",37.216
06/2012,556,"Tripoli, Akkar",37.2
07/2012,543,"Tripoli, Akkar",33.045
08/2012,391,"Tripoli, Akkar",23.344
09/2012,653,"Tripoli, Akkar",50.2
10/2012,629,"Tripoli, Akkar",35.759
11/2012,550,"Tripoli, Akkar",29.975
12/2012,674,"Tripoli, Akkar",52.28
01/2013,460,"Tripoli, Akkar",23.928
02/2013,422,"Tripoli, Akkar",32.194
03/2013,492,"Tripoli, Akkar",37.806
04/2013,603,"Tripoli, Akkar",26.529
05/2013,521,"Tripoli, Akkar",53.196
06/2013,490,"Tripoli, Akkar",28.844
07/2013,515,"Tripoli, Akkar",36.804
08/2013,454,"Tripoli, Akkar",29.439
09/2013,550,"Tripoli, Akkar",28.541
10/2013,466,"Tripoli, Akkar",41.914
11/2013,499,"Tripoli, Akkar",33.148
12/2013,561,"Tripoli, Akkar",29.285
01/2014,453,"Tripoli, Akkar",29.553
02/2014,537,"Tripoli, Akkar",35.601
03/2014,497,"Tripoli, Akkar",24.077
04/2014,597,"Tripoli, Akkar",38.162
05/2014,590,"Tripoli, Akkar",41.57
06/2014,548,"Tripoli, Akkar",36.204
07/2014,607,"Tripoli, Akkar",33.634
08/2014,545,"Tripoli, Akkar",44.526
09/2014,590,"Tripoli, Akkar",39.738
10/2014,445,"Tripoli, Akkar",40.437
11/2014,468,"Tripoli, Akkar",28.159
12/2014,556,"Tripoli, Akkar",32.312
01/2015,400,"Tripoli, Akkar",33.171
02/2015,415,"Tripoli, Akkar",25.535
03/2015,509,"Tripoli, Akkar",26.992
04/2015,471,"Tripoli, Akkar",23.727
05/2015,543,"Tripoli, Akkar",36.065
06/2015,519,"Tripoli, Akkar",27.172
07/2015,447,"Tripoli, Akkar",33.856
08/2015,611,"Tripoli, Akkar",32.35
09/2015,384,"Tripoli, Akkar",34.319
10/2015,514,"Tripoli, Akkar",36.33
11/2015,527,"Tripoli, Akkar",36.712
12/2015,555,"Tripoli, Akkar",32.538
01/2016,429,"Tripoli, Akkar",28.713
02/2016,507,"Tripoli, Akkar",34.828
03/2016,520,"Tripoli, Akkar",39.424
04/2016,489,"Tripoli, Akkar",39.705
05/2016,458,"Tripoli, Akkar",29.661
06/2016,475,"Tripoli, Akkar",30.813
07/2016,429,"Tripoli, Akkar",37.235
08/2016,530,"Tripoli, Akkar",33.724
09/2016,461,"Tripoli, Akkar",25.447
10/2016,548,"Tripoli, Akkar",32.385
11/2016,581,"Tripoli, Akkar",39.532
12/2016,586,"Tripoli, Akkar",42.618
01/2011,539,Bekaa,18.988
02/2011,608,Bekaa,15.206
03/2011,915,Bekaa,38.896
04/2011,704,Bekaa,32.465
05/2011,799,Bekaa,37.688
06/2011,924,Bekaa,35.716
07/2011,762,Bekaa,36.784
08/2011,731,Bekaa,35.262
09/2011,753,Bekaa,33.596
10/2011,839,Bekaa,43.517
11/2011,752,Bekaa,37.012
12/2011,1066,Bekaa,42.374
01/2012,666,Bekaa,33.419
02/2012,396,Bekaa,22.855
03/2012,591,Bekaa,32.547
04/2012,712,Bekaa,36.864
05/2012,749,Bekaa,39.682
06/2012,674,Bekaa,40.714
07/2012,661,Bekaa,36.105
08/2012,713,Bekaa,38.884
09/2012,825,Bekaa,62.986
10/2012,774,Bekaa,33.443
11/2012,724,Bekaa,33.998
12/2012,948,Bekaa,44.042
01/2013,586,Bekaa,29.673
02/2013,663,Bekaa,30.755
03/2013,670,Bekaa,32.377
04/2013,863,Bekaa,41.144
05/2013,775,Bekaa,34.696
06/2013,722,Bekaa,34.974
07/2013,746,Bekaa,31.842
08/2013,709,Bekaa,35.375
09/2013,892,Bekaa,38.111
10/2013,757,Bekaa,34.088
11/2013,842,Bekaa,41.95
12/2013,742,Bekaa,48.607
01/2014,593,Bekaa,37.079
02/2014,634,Bekaa,31.415
03/2014,691,Bekaa,33.419
04/2014,727,Bekaa,40.11
05/2014,716,Bekaa,55.859
06/2014,663,Bekaa,42.07
07/2014,508,Bekaa,37.027
08/2014,893,Bekaa,48.445
09/2014,936,Bekaa,42.879
10/2014,784,Bekaa,38.564
11/2014,810,Bekaa,40.973
12/2014,145,Bekaa,47.744
01/2015,357,Bekaa,22.714
02/2015,477,Bekaa,21.658
03/2015,762,Bekaa,38.1
04/2015,698,Bekaa,28.487
05/2015,759,Bekaa,33.424
