id,city,district,province,type,bedrooms,created_at,price_$,latitude,longitude,bathrooms,size_m2
86,Adma,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:25.452341+00,1100000,33.9808,35.6856,0,1445
87,Majdel Tarchich,El Metn,Mount Lebanon,Land,0,2025-03-16 14:47:25.672798+00,75000,33.9006,35.6178,0,800
88,Salima,Baabda,Mount Lebanon,Land,0,2025-03-16 14:47:25.826607+00,320000,33.8333,35.5442,0,950
89,Zalka,El Metn,Mount Lebanon,Office,1,2025-03-16 14:47:25.950086+00,200000,33.9006,35.6178,0,65
90,Badaro,Beirut,Beirut,Apartment,3,2025-03-16 14:47:26.054451+00,600000,33.8886,35.4955,2,200
91,Majdel Tarchich,El Metn,Mount Lebanon,Land,0,2025-03-16 14:47:26.185971+00,32000,33.9006,35.6178,0,750
92,Jbeil,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:47:26.342695+00,120000,34.1236,35.6455,2,166
93,Jbeil,Jbeil,Mount Lebanon,Apartment,4,2025-03-16 14:47:26.440524+00,150000,34.1236,35.6455,4,240
94,Jal el Dib,El Metn,Mount Lebanon,Office,1,2025-03-16 14:47:26.616451+00,175000,33.9006,35.6178,0,80
95,Jal el Dib,El Metn,Mount Lebanon,Shop,2,2025-03-16 14:47:26.716789+00,120000,33.9006,35.6178,0,121
96,Faraya,Kesrouane,Mount Lebanon,Chalet,3,2025-03-16 14:47:26.814358+00,275000,33.9808,35.6856,2,120
97,Aoukar,El Metn,Mount Lebanon,Land,0,2025-03-16 14:47:26.913619+00,619000,33.9006,35.6178,0,774
98,Aoukar,El Metn,Mount Lebanon,Land,0,2025-03-16 14:47:27.009095+00,840000,33.9006,35.6178,0,1050
99,Zaarour,El Metn,Mount Lebanon,House/Villa,3,2025-03-16 14:47:27.102935+00,380000,33.9006,35.6178,3,155
100,Adma,Kesrouane,Mount Lebanon,Shop,2,2025-03-16 14:47:27.190713+00,700000,33.9808,35.6856,0,400
101,Ras Beirut,Beirut,Beirut,Office,2,2025-03-16 14:47:27.298398+00,900000,33.8886,35.4955,0,200
102,Blat,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:47:27.416856+00,185000,34.1236,35.6455,0,970
103,Blat,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:47:27.511698+00,195000,34.1236,35.6455,0,1055
104,Hazmieh,Baabda,Mount Lebanon,Office,1,2025-03-16 14:47:27.611085+00,135000,33.8333,35.5442,0,100
105,Klayaat,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:27.717555+00,350000,33.9808,35.6856,0,1128
106,Hboub,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:47:27.865147+00,115000,34.1236,35.6455,2,125
107,Ain Saadeh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:27.960882+00,360000,33.9006,35.6178,4,200
108,Ain Saadeh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:28.118946+00,310000,33.9006,35.6178,4,170
109,Ain Saadeh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:28.223323+00,280000,33.9006,35.6178,3,161
110,Kaslik,Kesrouane,Mount Lebanon,Chalet,2,2025-03-16 14:47:28.315376+00,470000,33.9808,35.6856,1,100
111,Rabweh,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:47:28.683576+00,1000000,33.9006,35.6178,5,525
112,Aatchane,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:28.803405+00,199000,33.9006,35.6178,3,142
113,Jbeil,Jbeil,Mount Lebanon,Office,1,2025-03-16 14:47:28.896223+00,65000,34.1236,35.6455,0,45
114,Kornet Chehwan,El Metn,Mount Lebanon,Land,3,2025-03-16 14:47:29.051372+00,2335000,33.9006,35.6178,0,2335
115,Bouchrieh,El Metn,Mount Lebanon,Warehouse,1,2025-03-16 14:47:29.1664+00,200000,33.9006,35.6178,0,212
116,Adma,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:29.34718+00,650000,33.9808,35.6856,0,1165
117,Halat,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:47:29.522553+00,115000,34.1236,35.6455,2,120
118,Mar Takla,Baabda,Mount Lebanon,Shop,2,2025-03-16 14:47:29.616331+00,525000,33.8333,35.5442,0,80
119,Mar Takla,Baabda,Mount Lebanon,Shop,1,2025-03-16 14:47:29.711733+00,280000,33.8333,35.5442,0,40
120,Bouchrieh,El Metn,Mount Lebanon,Warehouse,1,2025-03-16 14:47:29.802752+00,600000,33.9006,35.6178,0,650
121,Fakra,Kesrouane,Mount Lebanon,Chalet,2,2025-03-16 14:47:29.900409+00,350000,33.9808,35.6856,2,123
122,Sin El Fil,El Metn,Mount Lebanon,Shop,4,2025-03-16 14:47:29.991631+00,2200000,33.9006,35.6178,0,440
123,Jbeil,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:47:30.119589+00,395000,34.1236,35.6455,0,3950
124,Jbeil,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:30.212199+00,250000,34.1236,35.6455,3,260
125,Haret Sakher,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:47:30.313056+00,135000,33.9808,35.6856,3,150
126,Edde,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:30.410067+00,215000,34.1236,35.6455,4,160
127,Jbeil,Jbeil,Mount Lebanon,Shop,1,2025-03-16 14:47:30.517634+00,300000,34.1236,35.6455,0,110
128,Hazmieh,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:47:30.617741+00,400000,33.8333,35.5442,4,240
129,Aamchit,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:30.708752+00,200000,34.1236,35.6455,3,200
130,Baabdat,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:30.81078+00,230000,33.9006,35.6178,3,160
131,Baabdat,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:30.900439+00,350000,33.9006,35.6178,3,250
132,Aamchit,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:30.991911+00,300000,34.1236,35.6455,3,232
133,Achkout,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:47:31.083168+00,120000,33.9808,35.6856,2,100
134,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:31.182037+00,120000,34.1236,35.6455,2,124
135,Wata El Joz,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:31.273489+00,85000,33.9808,35.6856,0,1202
136,Wata El Joz,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:31.421039+00,2200000,33.9808,35.6856,0,30617
137,Wata El Joz,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:31.511091+00,300000,33.9808,35.6856,0,4239
138,Wata El Joz,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:31.612254+00,1030000,33.9808,35.6856,0,14717
139,Badaro,Beirut,Beirut,Shop,2,2025-03-16 14:47:31.710911+00,650000,33.8886,35.4955,0,290
140,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:31.79542+00,150000,34.1236,35.6455,3,175
141,Aamchit,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:47:31.895438+00,135000,34.1236,35.6455,2,135
142,Jbeil,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:31.985771+00,190000,34.1236,35.6455,3,170
143,Hazmieh,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:47:32.088383+00,1250000,33.8333,35.5442,5,470
144,Achrafieh,Beirut,Beirut,Apartment,2,2025-03-16 14:47:32.184949+00,165000,33.8886,35.4955,2,80
145,Douar,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:47:32.274074+00,125000,33.9006,35.6178,2,125
146,Achrafieh,Beirut,Beirut,Residential Building,0,2025-03-16 14:47:32.38063+00,550000,33.8886,35.4955,0,126
147,Antelias,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:32.482397+00,225000,33.9006,35.6178,3,155
148,Antelias,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:47:32.679537+00,165000,33.9006,35.6178,2,135
149,Bsalim,El Metn,Mount Lebanon,Land,0,2025-03-16 14:47:32.77389+00,325000,33.9006,35.6178,0,380
150,Wata El Joz,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:32.873443+00,250000,33.9808,35.6856,0,861
151,Faraya,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:32.992759+00,1000000,33.9808,35.6856,0,3200
152,Bsalim,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:33.089625+00,200000,33.9006,35.6178,3,165
153,Dekweneh,El Metn,Mount Lebanon,Office,1,2025-03-16 14:47:33.175695+00,300000,33.9006,35.6178,0,95
154,Adma,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:33.282538+00,800000,33.9808,35.6856,0,1220
155,Furn El Chebbak,Baabda,Mount Lebanon,Apartment,2,2025-03-16 14:47:33.385143+00,245000,33.8333,35.5442,2,135
156,chnaniir,Kesrouane,Mount Lebanon,Apartment,4,2025-03-16 14:47:33.485346+00,4000000,33.9808,35.6856,6,1100
157,Jal el Dib,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:33.582274+00,185000,33.9006,35.6178,3,140
158,Bhorsaf,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:33.692149+00,300000,33.9006,35.6178,4,220
159,Bhorsaf,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:33.784045+00,290000,33.9006,35.6178,4,220
160,Bhorsaf,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:33.89958+00,310000,33.9006,35.6178,4,200
161,Achkout,Kesrouane,Mount Lebanon,Apartment,5,2025-03-16 14:47:33.995381+00,460000,33.9808,35.6856,7,440
162,Antelias,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:34.115347+00,250000,33.9006,35.6178,3,235
163,Jbeil,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:47:34.217768+00,107000,34.1236,35.6455,2,137
164,Jbeil,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:47:34.323305+00,115000,34.1236,35.6455,2,100
165,Qornet El Hamra,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:34.422255+00,425000,33.9006,35.6178,4,252
166,Sahel Alma,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:34.528034+00,2000000,33.9808,35.6856,0,2500
167,Adma,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:47:34.629568+00,250000,33.9808,35.6856,3,150
168,Bouchrieh,El Metn,Mount Lebanon,Shop,2,2025-03-16 14:47:34.727317+00,65000,33.9006,35.6178,0,62
169,Barbara,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:47:34.836523+00,68000,34.1236,35.6455,2,90
170,Halat,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:47:34.93461+00,850000,34.1236,35.6455,0,1500
171,Kfarzebian,Kesrouane,Mount Lebanon,Chalet,2,2025-03-16 14:47:35.144311+00,165000,33.9808,35.6856,1,100
172,Ras Beirut,Beirut,Beirut,Shop,1,2025-03-16 14:47:35.240871+00,160000,33.8886,35.4955,0,90
173,Adma,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:47:35.371292+00,315000,33.9808,35.6856,4,170
174,Jdeideh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:35.477577+00,210000,33.9006,35.6178,2,155
175,Shayle,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:47:35.570578+00,185000,33.9808,35.6856,3,150
176,Shayle,Kesrouane,Mount Lebanon,Warehouse,0,2025-03-16 14:47:35.671561+00,185000,33.9808,35.6856,0,400
177,Jbeil,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:47:35.777503+00,67000,34.1236,35.6455,2,110
178,Kaslik,Kesrouane,Mount Lebanon,Chalet,1,2025-03-16 14:47:35.985029+00,275000,33.9808,35.6856,1,57
179,Roumie,El Metn,Mount Lebanon,Land,0,2025-03-16 14:47:36.087177+00,1240000,33.9006,35.6178,0,1380
180,Sahel Alma,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:47:36.384401+00,130000,33.9808,35.6856,2,170
181,Naccache,El Metn,Mount Lebanon,House/Villa,4,2025-03-16 14:47:36.486492+00,1000000,33.9006,35.6178,5,500
182,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:47:36.583918+00,730000,33.8886,35.4955,3,210
183,Yarzeh,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:47:36.679042+00,820000,33.8333,35.5442,4,380
184,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:47:36.792181+00,510000,33.8886,35.4955,3,170
185,Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:47:36.961985+00,130000,33.9006,35.6178,2,120
186,Bsalim,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:37.087202+00,170000,33.9006,35.6178,3,170
187,Bsalim,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:37.19121+00,170000,33.9006,35.6178,3,170
188,Nabey,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:37.288104+00,210000,33.9006,35.6178,3,160
189,Nabey,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:37.379095+00,220000,33.9006,35.6178,3,165
190,Nabey,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:37.475541+00,210000,33.9006,35.6178,3,160
191,Nabey,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:47:37.565123+00,325000,33.9006,35.6178,5,320
192,Hazmieh,Baabda,Mount Lebanon,Land,0,2025-03-16 14:47:37.831754+00,1050000,33.8333,35.5442,0,1360
193,Dbayeh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:37.930054+00,350000,33.9006,35.6178,3,230
194,Dbayeh,El Metn,Mount Lebanon,Warehouse,1,2025-03-16 14:47:38.177142+00,500000,33.9006,35.6178,0,617
195,Jbeil,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:47:38.270516+00,850000,34.1236,35.6455,0,1600
196,Kornet Chehwan,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:47:38.418694+00,350000,33.9006,35.6178,4,220
197,Kornet Chehwan,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:47:38.523736+00,350000,33.9006,35.6178,4,220
198,Kornet Chehwan,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:38.617936+00,300000,33.9006,35.6178,4,200
199,Yarzeh,Baabda,Mount Lebanon,Apartment,4,2025-03-16 14:47:38.725713+00,1150000,33.8333,35.5442,5,400
200,Ballouneh,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:47:38.883247+00,235000,33.9808,35.6856,3,160
201,Ballouneh,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:47:38.994433+00,190000,33.9808,35.6856,3,145
202,Ballouneh,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:47:39.137995+00,295000,33.9808,35.6856,3,145
203,Ballouneh,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:47:39.235137+00,190000,33.9808,35.6856,3,145
204,Jbeil,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:47:39.322594+00,135000,34.1236,35.6455,2,120
205,Qannabet Broumana,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:47:39.426453+00,280000,33.9006,35.6178,3,220
206,kfarhbeib,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:47:39.516568+00,650000,33.9808,35.6856,5,300
207,Aoukar,El Metn,Mount Lebanon,Warehouse,1,2025-03-16 14:47:39.611512+00,80000,33.9006,35.6178,0,300
208,Fatqa,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:47:39.702989+00,325000,33.9808,35.6856,3,275
209,Ain El Rihani,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:39.804308+00,460000,33.9808,35.6856,0,2308
210,Dbayeh,El Metn,Mount Lebanon,Commercial Building,6,2025-03-16 14:47:39.906279+00,9000000,33.9006,35.6178,0,3200
211,Ghazir,Kesrouane,Mount Lebanon,House/Villa,6,2025-03-16 14:47:40.006438+00,2900000,33.9808,35.6856,9,1000
212,Achrafieh,Beirut,Beirut,Apartment,2,2025-03-16 14:47:40.10246+00,200000,33.8886,35.4955,2,120
213,Jounieh,Kesrouane,Mount Lebanon,Chalet,2,2025-03-16 14:47:40.190271+00,165000,33.9808,35.6856,2,75
214,Ain Saadeh,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:47:40.286222+00,300000,33.9006,35.6178,4,250
