City,District,Province,Type,Size m²,Bedrooms,Bathrooms,Price $,Latitude,Longitude
Achrafieh,Beirut,Beirut,Apartment,105,2,2,325000,33.8886,35.4955
Zouk Mosbeh,Kesrouane,Mount Lebanon,Shop,100,1,0,200000,33.9808,35.6856
Baabdat,El Metn,Mount Lebanon,Residential Building,865,3,3,565000,33.9006,35.6178
Zouk Mosbeh,Kesrouane,Mount Lebanon,Apartment,180,3,2,120000,33.9808,35.6856
kfarhbeib,Kesrouane,Mount Lebanon,Land,1281,0,0,900000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Office,525,0,0,1300000,33.8886,35.4955
Sarba,Kesrouane,Mount Lebanon,Apartment,370,3,3,400000,33.9808,35.6856
Ghadir,Kesrouane,Mount Lebanon,Apartment,230,4,4,200000,33.9808,35.6856
Edde,Jbeil,Mount Lebanon,Apartment,140,3,2,129000,34.1236,35.6455
Biyada,El Metn,Mount Lebanon,Land,1131,0,0,1100000,33.9006,35.6178
Batroun,Batroun,North,Apartment,90,2,2,140000,34.2556,35.6586
Ain Alak,El Metn,Mount Lebanon,Land,1640,0,0,1200000,33.9006,35.6178
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,171,3,3,300000,33.9808,35.6856
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,180,3,3,300000,33.9808,35.6856
Adma,Kesrouane,Mount Lebanon,Residential Building,1100,0,0,3800000,33.9808,35.6856
Laqlouq,Jbeil,Mount Lebanon,Land,7000,0,0,700000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Factory,500,2,0,750000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Residential Building,1200,0,0,1000000,34.1236,35.6455
Bsalim,El Metn,Mount Lebanon,Land,2470,0,0,1729000,33.9006,35.6178
Elissar,El Metn,Mount Lebanon,Shop,440,0,0,3000000,33.9006,35.6178
Safra,Kesrouane,Mount Lebanon,Apartment,105,2,2,90000,33.9808,35.6856
Baabda,Baabda,Mount Lebanon,Apartment,350,3,5,780000,33.8333,35.5442
Bchelli,Jbeil,Mount Lebanon,House/Villa,300,3,5,500000,34.1236,35.6455
Blat,Jbeil,Mount Lebanon,Land,6500,0,0,950000,34.1236,35.6455
Baabda,Baabda,Mount Lebanon,Land,1416,0,0,2100000,33.8333,35.5442
Ghadir,Kesrouane,Mount Lebanon,Apartment,360,4,4,300000,33.9808,35.6856
Bsalim,El Metn,Mount Lebanon,Apartment,550,4,6,475000,33.9006,35.6178
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,137,2,2,171250,33.9006,35.6178
Baabdat,El Metn,Mount Lebanon,Apartment,138,2,2,240000,33.9006,35.6178
Baabdat,El Metn,Mount Lebanon,Apartment,176,3,3,325000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,123,2,2,550000,33.8886,35.4955
Zaarour,El Metn,Mount Lebanon,Land,1230,0,0,185000,33.9006,35.6178
Maameltein,Kesrouane,Mount Lebanon,Apartment,50,1,0,82000,33.9808,35.6856
Adonis,Kesrouane,Mount Lebanon,Shop,90,1,0,160000,33.9808,35.6856
Nahr Ibrahim,Jbeil,Mount Lebanon,Shop,500,1,0,400000,34.1236,35.6455
Ghazir,Kesrouane,Mount Lebanon,Land,628,0,0,350000,33.9808,35.6856
Jal el Dib,El Metn,Mount Lebanon,Apartment,115,2,2,140000,33.9006,35.6178
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,200,3,3,400000,33.9808,35.6856
Batroun,Batroun,North,Land,1900,0,0,510000,34.2556,35.6586
Dbayeh,El Metn,Mount Lebanon,Land,1020,0,0,714000,33.9006,35.6178
Chikhane,Jbeil,Mount Lebanon,Land,3236,0,0,300000,34.1236,35.6455
Aamchit,Jbeil,Mount Lebanon,Apartment,160,3,2,110000,34.1236,35.6455
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,420,5,5,410000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,190,3,3,350000,33.8886,35.4955
Fakra,Kesrouane,Mount Lebanon,Land,583,0,0,450000,33.9808,35.6856
Ouyoun Al Simen,Kesrouane,Mount Lebanon,Chalet,100,3,2,300000,33.9808,35.6856
Ouyoun Al Simen,Kesrouane,Mount Lebanon,Chalet,150,2,2,450000,33.9808,35.6856
Klayaat,Kesrouane,Mount Lebanon,Land,1390,0,0,320000,33.9808,35.6856
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,194,3,4,302500,33.9006,35.6178
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,194,3,4,242500,33.9006,35.6178
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,330,3,5,412500,33.9006,35.6178
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,140,3,3,175000,33.9006,35.6178
Adma,Kesrouane,Mount Lebanon,Apartment,187,3,4,210000,33.9808,35.6856
Jbeil,Jbeil,Mount Lebanon,Warehouse,300,1,0,115000,34.1236,35.6455
Zouk Mikael,Kesrouane,Mount Lebanon,Shop,300,1,0,400000,33.9808,35.6856
Lehfed,Jbeil,Mount Lebanon,Land,1770,0,0,135000,34.1236,35.6455
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,300,3,4,425000,33.9808,35.6856
Aamchit,Jbeil,Mount Lebanon,Residential Building,248,4,4,125000,34.1236,35.6455
Gherfine,Jbeil,Mount Lebanon,Apartment,125,2,2,125000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,100,2,2,130000,34.1236,35.6455
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,300,3,4,350000,33.9808,35.6856
Adma,Kesrouane,Mount Lebanon,Apartment,220,3,4,370000,33.9808,35.6856
Adma,Kesrouane,Mount Lebanon,Apartment,211,3,4,390000,33.9808,35.6856
Adma,Kesrouane,Mount Lebanon,Apartment,205,3,4,390000,33.9808,35.6856
Adma,Kesrouane,Mount Lebanon,Apartment,208,3,4,375000,33.9808,35.6856
Jounieh,Kesrouane,Mount Lebanon,Commercial Building,2000,0,0,3500000,33.9808,35.6856
Chikhane,Jbeil,Mount Lebanon,Land,1600,0,0,560000,34.1236,35.6455
Monteverde,El Metn,Mount Lebanon,Apartment,230,3,4,375000,33.9006,35.6178
Laqlouq,Jbeil,Mount Lebanon,Land,4756,0,0,405000,34.1236,35.6455
