Address,Price $,Size m²,Bedrooms,Bathrooms,Furnished
"Achrafieh, Beirut, Beirut",3900000,534,5,6,yes
"Saint Nicolas, Beirut, Beirut",1000000,260,3,3,yes
"Achrafieh, Beirut, Beirut",1300000,300,3,3,yes
"Achrafieh, Beirut, Beirut",1200000,310,3,4,yes
"Achrafieh, Beirut, Beirut",1200000,400,4,5,yes
"Kfardebian, Kesrouane, Mount Lebanon",450000,660,3,3,no
"Achrafieh, Beirut, Beirut",410000,130,2,3,yes
"Achrafieh, Beirut, Beirut",195000,152,3,2,no
"Ballouneh, Kesrouane, Mount Lebanon",400000,219,3,3,yes
"Achrafieh, Beirut, Beirut",265000,65,1,1,yes
"Dik El Mehdi, El Metn, Mount Lebanon",300000,350,5,5,no
"Verdun, Beirut, Beirut",21000000,2600,N/A,N/A,no
"Boutchay, Baabda, Mount Lebanon",134999,120,2,2,yes
"Bsalim, El Metn, Mount Lebanon",284999,182,3,4,no
"abed al-wahab inglizi, Beirut, Beirut",1500000,575,4,5,no
"Saifi, Beirut, Beirut",650000,175,2,3,no
"Dbayeh, El Metn, Mount Lebanon",1290000,330,3,4,yes
"Achrafieh, Beirut, Beirut",1200000,475,4,6,no
"Mar Mikhael, Beirut, Beirut",680000,142,2,2,yes
"Achrafieh, Beirut, Beirut",900000,225,3,4,yes
"Jal el Dib, El Metn, Mount Lebanon",240000,155,3,3,no
"Jal el Dib, El Metn, Mount Lebanon",240000,175,3,3,no
"Ain Saadeh, El Metn, Mount Lebanon",494999,311,3,4,yes
"Zalka, El Metn, Mount Lebanon",258000,175,3,2,no
"Zalka, El Metn, Mount Lebanon",125000,118,2,2,yes
"Zalka, El Metn, Mount Lebanon",135000,109,2,2,partly
"El Biyada, El Metn, Mount Lebanon",780000,300,3,5,partly
"El Biyada, El Metn, Mount Lebanon",400000,200,3,3,no
"Achrafieh, Beirut, Beirut",1050000,400,4,5,yes
"Mazraat Yachouh, El Metn, Mount Lebanon",375000,464,5,7,no
"Jamhour, Baabda, Mount Lebanon",609999,310,3,5,no
"Broummana, El Metn, Mount Lebanon",250000,300,3,4,no
"Achrafieh, Beirut, Beirut",500000,200,3,2,yes
"Achrafieh, Beirut, Beirut",300000,90,2,2,yes
"Badaro, Beirut, Beirut",420000,300,4,3,no
"El Biyada, El Metn, Mount Lebanon",650000,260,3,4,partly
"Achrafieh, Beirut, Beirut",1000000,340,4,4,no
"Jal el Dib, El Metn, Mount Lebanon",180000,106,2,2,no
"Dbayeh, El Metn, Mount Lebanon",320000,300,4,6,no
"Kornet Chehwan, El Metn, Mount Lebanon",200000,145,3,3,yes
"Mtayleb, El Metn, Mount Lebanon",320000,250,3,3,no
"El Biyada, El Metn, Mount Lebanon",500000,250,3,3,no
"Kfar Aabida, Batroun, North",165000,165,3,3,no
"Achrafieh, Beirut, Beirut",190000,125,2,2,no
"Adma, Kesrouane, Mount Lebanon",650000,1021,N/A,N/A,no
"Jal el Dib, El Metn, Mount Lebanon",350000,190,3,3,no
"Abediyeh, Aley, Mount Lebanon",1500000,2500,6,5,no
"Yarzeh, Baabda, Mount Lebanon",800000,255,2,3,yes
"Ramlet al-Baydah, Beirut, Beirut",1100000,275,3,4,no
"Achrafieh, Beirut, Beirut",1300000,375,4,5,yes
"Unesco, Beirut, Beirut",1050000,350,4,5,no
"Mazraat Yachouh, El Metn, Mount Lebanon",190000,155,2,2,yes
"Zouk Mikael, Kesrouane, Mount Lebanon",125000,140,3,2,no
"Hazmieh, Baabda, Mount Lebanon",159999,125,2,3,yes
"Ain Aar, El Metn, Mount Lebanon",500000,275,3,4,partly
"Rabweh, El Metn, Mount Lebanon",530000,452,3,4,yes
"Rabweh, El Metn, Mount Lebanon",370000,330,4,5,no
"Rabweh, El Metn, Mount Lebanon",330000,306,3,3,no
"Saifi, Beirut, Beirut",365000,66,1,1,yes
"Achrafieh, Beirut, Beirut",600000,235,3,4,no
"El Biyada, El Metn, Mount Lebanon",3600000,1700,5,7,no
"Bsous, Aley, Mount Lebanon",134999,160,3,3,yes
"Verdun, Beirut, Beirut",850000,300,3,4,yes
"Bsalim, El Metn, Mount Lebanon",295000,290,5,3,no
"Ras El Nabeh, Beirut, Beirut",800000,225,3,4,no
"Badaro, Beirut, Beirut",670000,275,3,4,yes
"El Biyada, El Metn, Mount Lebanon",545000,265,2,4,yes
"Hamra, Beirut, Beirut",600000,200,3,3,yes
"Mtayleb, El Metn, Mount Lebanon",950000,600,4,6,no
"Rabweh, El Metn, Mount Lebanon",158000,150,3,2,no
"Bsalim, El Metn, Mount Lebanon",170000,130,2,3,no
"Rabieh, El Metn, Mount Lebanon",1100000,340,3,4,no
"Kahale, Aley, Mount Lebanon",149999,140,3,3,no
"Badaro, Beirut, Beirut",430000,200,3,4,no
"Faqra, Kesrouane, Mount Lebanon",707000,220,3,2,no
"Zebdine, Jbeil, Mount Lebanon",110000,1029,N/A,N/A,no
"Hazmieh, Baabda, Mount Lebanon",649999,400,4,5,no
"Baabdat, El Metn, Mount Lebanon",699999,320,3,4,no
"Rabweh, El Metn, Mount Lebanon",395000,320,3,5,no
"Rabweh, El Metn, Mount Lebanon",1025000,842,3,6,no
"Down Town, Beirut, Beirut",1800000,285,3,4,no
"Down Town, Beirut, Beirut",1200000,230,3,4,yes
"Aaoukar, El Metn, Mount Lebanon",350000,300,4,4,no
"Rabieh, El Metn, Mount Lebanon",1300000,520,4,4,yes
"Achrafieh, Beirut, Beirut",1500000,410,4,5,no
"Rabweh, El Metn, Mount Lebanon",300000,232,3,5,no
"Rabweh, El Metn, Mount Lebanon",450000,350,3,5,no
"Hamra, Beirut, Beirut",675000,165,2,3,yes
"Jamhour, Baabda, Mount Lebanon",1400000,2727,N/A,N/A,no
"Ouyoun Broummana, El Metn, Mount Lebanon",749999,2080,N/A,N/A,no
"Rabweh, El Metn, Mount Lebanon",435000,350,3,5,no
"Badaro, Beirut, Beirut",800000,260,3,3,yes
"El Biyada, El Metn, Mount Lebanon",1100000,440,4,5,no
"Achrafieh, Beirut, Beirut",950000,370,4,5,yes
"Sioufi, Beirut, Beirut",742000,275,4,3,yes
"Bsalim, El Metn, Mount Lebanon",350000,254,3,4,no
"Bsalim, El Metn, Mount Lebanon",249999,200,3,2,no
"Mar Roukoz, El Metn, Mount Lebanon",150000,150,2,3,yes
"Bsalim, El Metn, Mount Lebanon",600000,303,3,3,no
"Hamat, Batroun, North",4700000,4764,N/A,N/A,no
"Rabieh, El Metn, Mount Lebanon",4999999,1082,3,4,no
"Rabieh, El Metn, Mount Lebanon",5000000,1034,3,4,no
"Rabieh, El Metn, Mount Lebanon",5000000,791,3,3,no
"Rabweh, El Metn, Mount Lebanon",290000,245,3,4,no
"Jouret Al Ballout, El Metn, Mount Lebanon",135000,140,2,3,no
"Beit Meri, El Metn, Mount Lebanon",145000,121,1,1,no
"Jal el Dib, El Metn, Mount Lebanon",230000,111,2,2,no
"Mtayleb, El Metn, Mount Lebanon",340000,230,2,2,no
"Kfardebian, Kesrouane, Mount Lebanon",449999,1000,N/A,N/A,no
"Ouyoun Broummana, El Metn, Mount Lebanon",289999,350,4,5,no
"Rabweh, El Metn, Mount Lebanon",170000,155,2,2,no
"Achrafieh, Beirut, Beirut",2200000,500,4,5,no
"Ain Saadeh, El Metn, Mount Lebanon",525000,290,3,5,no
"Verdun, Beirut, Beirut",380000,150,3,2,yes
"Achrafieh, Beirut, Beirut",2200000,435,4,6,no
"Achrafieh, Beirut, Beirut",700000,245,3,4,no
"Dahr El Souane, El Metn, Mount Lebanon",525000,345,4,5,no
"Achrafieh, Beirut, Beirut",300000,96,1,2,no
"Hamra, Beirut, Beirut",500000,200,3,4,no
"Rawche, Beirut, Beirut",1200000,340,3,4,no
"Tabaris, Beirut, Beirut",750000,270,3,4,no
"Achrafieh, Beirut, Beirut",290000,180,3,3,yes
"Rabieh, El Metn, Mount Lebanon",6500000,1459,5,4,yes
"sakiet al-janzeer, Beirut, Beirut",1000000,300,4,4,yes
"Hazmieh, Baabda, Mount Lebanon",500000,280,3,4,no
"Achrafieh, Beirut, Beirut",320000,55,1,1,no
"Ras El Nabeh, Beirut, Beirut",400000,180,4,3,no
"Yarzeh, Baabda, Mount Lebanon",1842100,1417,N/A,N/A,no
"Hazmieh, Baabda, Mount Lebanon",2500000,1269,N/A,N/A,no
"Sahel Alma, Kesrouane, Mount Lebanon",600000,282,4,3,yes
"New Rawda, El Metn, Mount Lebanon",155000,140,3,3,no
"Mar Chaaya, El Metn, Mount Lebanon",500000,250,2,3,yes
"Yarzeh, Baabda, Mount Lebanon",1400000,760,3,4,no
"Achrafieh, Beirut, Beirut",1300000,385,4,5,no
"Spears, Beirut, Beirut",1500000,520,4,6,no
"Ain Saadeh, El Metn, Mount Lebanon",325000,210,3,4,no
"Ras El Nabeh, Beirut, Beirut",240000,110,2,2,no
"Mtayleb, El Metn, Mount Lebanon",765000,460,4,5,no
"Baabdat, El Metn, Mount Lebanon",230000,160,2,4,no
"Achrafieh, Beirut, Beirut",300000,105,1,2,yes
"Sehayleh, Kesrouane, Mount Lebanon",2000000,1200,5,8,yes
"Yarzeh, Baabda, Mount Lebanon",2300000,415,5,5,yes
"Sin El Fil, El Metn, Mount Lebanon",135000,125,2,2,no
"Aabeidat, Jbeil, Mount Lebanon",125000,2500,N/A,N/A,no
"Mtayleb, El Metn, Mount Lebanon",723000,301,4,4,no
"Mtayleb, El Metn, Mount Lebanon",756000,315,3,3,no
"Ouyoun Al Simen, Kesrouane, Mount Lebanon",2000000,717,5,5,yes
"Rabieh, El Metn, Mount Lebanon",1350000,685,4,5,no
"Baabdat, El Metn, Mount Lebanon",500000,386,3,3,no
"Faqra, Kesrouane, Mount Lebanon",290000,127,2,2,no
"Faqra, Kesrouane, Mount Lebanon",350000,133,2,3,no
"Mtayleb, El Metn, Mount Lebanon",3200000,1199,5,6,yes
"Achrafieh, Beirut, Beirut",1150000,380,3,5,yes
"Baabdat, El Metn, Mount Lebanon",420000,400,3,5,no
"tallet al-khayat, Beirut, Beirut",1500000,440,3,5,no
"tallet al-khayat, Beirut, Beirut",1200000,485,4,6,partly
"Achrafieh, Beirut, Beirut",700000,250,3,4,no
"Down Town, Beirut, Beirut",2500000,450,3,3,no
"Qennabet Baabdat, El Metn, Mount Lebanon",135000,180,3,3,no
"Fanar, El Metn, Mount Lebanon",315000,180,3,3,yes
"Achrafieh, Beirut, Beirut",750000,260,3,3,yes
"Mar Mikhael, Beirut, Beirut",650000,190,3,3,yes
"Achrafieh, Beirut, Beirut",1000000,360,4,5,no
"Ramlet al-Baydah, Beirut, Beirut",1000000,345,4,5,no
"Beit Meri, El Metn, Mount Lebanon",849999,490,N/A,N/A,no
"Naqqache, El Metn, Mount Lebanon",485000,500,4,3,yes
"Monteverde, El Metn, Mount Lebanon",155000,150,2,2,no
"Yarzeh, Baabda, Mount Lebanon",500000,250,3,4,no
"Faqra, Kesrouane, Mount Lebanon",285000,116,2,2,yes
"Tilal Ain Saade, El Metn, Mount Lebanon",275000,320,3,4,no
"Ras El Nabeh, Beirut, Beirut",450000,250,3,2,yes
"Kfardebian, Kesrouane, Mount Lebanon",270000,95,3,2,yes
"Achrafieh, Beirut, Beirut",280000,100,1,2,yes
"Yarzeh, Baabda, Mount Lebanon",400000,175,3,3,yes
"Louaizeh, Baabda, Mount Lebanon",649999,330,4,6,yes
"El Biyada, El Metn, Mount Lebanon",250000,264,3,4,no
"Halat, Jbeil, Mount Lebanon",2900000,568,4,6,no
"Klayaat, Kesrouane, Mount Lebanon",650000,2050,N/A,N/A,no
"Hazmieh, Baabda, Mount Lebanon",425000,360,4,4,no
"Dik El Mehdi, El Metn, Mount Lebanon",415000,315,3,4,no
"Rabieh, El Metn, Mount Lebanon",1550000,600,4,6,no
"Rabieh, El Metn, Mount Lebanon",6200000,2000,8,8,yes
"Rabieh, El Metn, Mount Lebanon",2200000,1300,8,7,yes
"Kornet Chehwan, El Metn, Mount Lebanon",235000,175,3,3,no
"Dik El Mehdi, El Metn, Mount Lebanon",660000,500,5,6,no
"Rabieh, El Metn, Mount Lebanon",660000,320,3,4,yes
"Broummana, El Metn, Mount Lebanon",400000,240,3,4,no
"Dbayeh, El Metn, Mount Lebanon",2550000,497,4,5,no
"Rabieh, El Metn, Mount Lebanon",1300000,723,5,6,no
"Ras El Nabeh, Beirut, Beirut",450000,260,3,4,no
"Bsalim, El Metn, Mount Lebanon",650000,330,3,4,no
"Faraya, Kesrouane, Mount Lebanon",340000,155,2,2,yes
"Qennabet Broummana, El Metn, Mount Lebanon",385000,225,3,3,no
"Qennabet Broummana, El Metn, Mount Lebanon",685000,402,3,5,no
"New Rawda, El Metn, Mount Lebanon",100000,135,2,2,yes
"El Biyada, El Metn, Mount Lebanon",513000,266,2,3,no
"Faraya, Kesrouane, Mount Lebanon",700000,262,4,4,yes
"Dbayeh, El Metn, Mount Lebanon",255000,255,5,4,no
"Achrafieh, Beirut, Beirut",700000,190,2,4,no
"Kornet Chehwan, El Metn, Mount Lebanon",510000,380,3,5,no
"Hazmieh, Baabda, Mount Lebanon",350000,230,4,4,partly
"Achrafieh, Beirut, Beirut",600000,300,3,5,yes
"Rabieh, El Metn, Mount Lebanon",450000,427,4,5,no
"Achrafieh, Beirut, Beirut",1700000,443,5,6,no
"Manara (Beirut), Beirut, Beirut",1200000,320,3,5,no
"Baabdat, El Metn, Mount Lebanon",390000,300,3,4,no
"El Biyada, El Metn, Mount Lebanon",680000,380,5,5,no
"Saifi, Beirut, Beirut",6900000,400,N/A,N/A,no
"Faitroun, Kesrouane, Mount Lebanon",2500000,1500,5,8,yes
"Baabdat, El Metn, Mount Lebanon",308000,216,3,4,no
"Beit Meri, El Metn, Mount Lebanon",275000,255,3,4,no
"Baabdat, El Metn, Mount Lebanon",270000,253,3,4,no
"El Biyada, El Metn, Mount Lebanon",785000,400,3,4,no
"Dbayeh, El Metn, Mount Lebanon",1500000,330,3,4,partly
"Hazmieh, Baabda, Mount Lebanon",425000,227,3,4,no
"Spears, Beirut, Beirut",1300000,520,3,5,no
"Achrafieh, Beirut, Beirut",180000,135,2,2,yes
"Naqqache, El Metn, Mount Lebanon",315000,240,3,3,no
"Hazmieh, Baabda, Mount Lebanon",600000,400,3,6,no
"Kornet Chehwan, El Metn, Mount Lebanon",480000,260,4,4,no
"Kornet Chehwan, El Metn, Mount Lebanon",560000,344,3,3,no
"Mtayleb, El Metn, Mount Lebanon",365000,280,3,3,no
"Kornet Chehwan, El Metn, Mount Lebanon",260000,234,3,3,no
"Beit el Chaar, El Metn, Mount Lebanon",390000,318,3,3,no
"Dbayeh, El Metn, Mount Lebanon",150000,145,3,3,no
"Beit el Chaar, El Metn, Mount Lebanon",510000,426,3,3,no
"Kornet Chehwan, El Metn, Mount Lebanon",549000,240,4,4,no
"Beit el Chaar, El Metn, Mount Lebanon",350000,306,4,3,no
"Louaizeh, Baabda, Mount Lebanon",200000,190,3,3,no
"Rabieh, El Metn, Mount Lebanon",825000,550,4,5,no
"Rabieh, El Metn, Mount Lebanon",775000,550,4,5,no
"Faqra, Kesrouane, Mount Lebanon",359000,140,3,4,yes
"Achrafieh, Beirut, Beirut",1200000,370,4,4,yes
"Rabieh, El Metn, Mount Lebanon",775000,348,4,4,yes
"Faraya, Kesrouane, Mount Lebanon",448000,1500,N/A,N/A,no
"Broummana, El Metn, Mount Lebanon",799000,4540,N/A,N/A,no
"Aabrine, Batroun, North",250000,1050,N/A,N/A,no
"Bakich, Kesrouane, Mount Lebanon",120000,1700,N/A,N/A,no
"Horch Tabet, El Metn, Mount Lebanon",1800000,350,4,5,no
"Rabieh, El Metn, Mount Lebanon",2999000,1598,N/A,N/A,no
"Jisr El Bacha, El Metn, Mount Lebanon",550000,463,8,8,no
"Achrafieh, Beirut, Beirut",1850000,440,4,5,yes
"Faqra, Kesrouane, Mount Lebanon",575000,941,N/A,N/A,no
"Yarzeh, Baabda, Mount Lebanon",1600000,1115,5,7,no
"Antelias, El Metn, Mount Lebanon",1300000,712,N/A,N/A,no
"Achrafieh, Beirut, Beirut",695000,240,3,4,no
"Saifi, Beirut, Beirut",650000,178,2,3,no
"Monteverde, El Metn, Mount Lebanon",450000,220,3,4,no
"Batroun, Batroun, North",137000,106,2,2,no
"Mtayleb, El Metn, Mount Lebanon",350000,200,3,3,no
"Yarzeh, Baabda, Mount Lebanon",1937250,587,4,6,no
"Hazmieh, Baabda, Mount Lebanon",500000,205,3,4,no
"Hazmieh, Baabda, Mount Lebanon",650000,340,3,5,no
"Beit Chabeb, El Metn, Mount Lebanon",105000,540,N/A,N/A,no
"Ain Saadeh, El Metn, Mount Lebanon",600000,350,3,3,yes
"Yarzeh, Baabda, Mount Lebanon",1499999,1078,N/A,N/A,no
"El Biyada, El Metn, Mount Lebanon",699000,315,3,4,no
"Yarzeh, Baabda, Mount Lebanon",1200000,625,4,6,no
"Beit Meri, El Metn, Mount Lebanon",253840,152,3,4,no
"Faraya, Kesrouane, Mount Lebanon",1200000,1000,6,5,yes
"Monteverde, El Metn, Mount Lebanon",850000,375,4,6,yes
"Hamra, Beirut, Beirut",3000000,517,3,5,no
"Hazmieh, Baabda, Mount Lebanon",635000,409,3,5,no
"Dibbiyeh, Chouf, Mount Lebanon",275000,2380,N/A,N/A,no
"Baabdat, El Metn, Mount Lebanon",500000,350,4,4,no
"Hadath, Baabda, Mount Lebanon",1500000,1116,N/A,N/A,no
"Rabieh, El Metn, Mount Lebanon",375000,380,3,3,yes
"Achrafieh, Beirut, Beirut",599000,165,3,4,no
"Achrafieh, Beirut, Beirut",399000,148,2,2,no
"Mansourieh, El Metn, Mount Lebanon",260000,240,3,4,no
"Yarzeh, Baabda, Mount Lebanon",680000,510,5,5,no
"Hazmieh, Baabda, Mount Lebanon",460000,300,3,5,no
"Hazmieh, Baabda, Mount Lebanon",450000,285,3,5,no
"Hazmieh, Baabda, Mount Lebanon",600000,400,4,6,no
"Beit Meri, El Metn, Mount Lebanon",268950,155,3,4,no
"Beit Meri, El Metn, Mount Lebanon",304150,156,3,4,no
"Monteverde, El Metn, Mount Lebanon",359999,190,3,4,no
"Beit Meri, El Metn, Mount Lebanon",600000,250,3,3,no
"Sehayleh, Kesrouane, Mount Lebanon",260000,200,3,3,no
"Sehayleh, Kesrouane, Mount Lebanon",860000,1439,N/A,N/A,no
"Ras El Nabeh, Beirut, Beirut",400000,230,3,4,no
"Rawche, Beirut, Beirut",4500000,600,4,6,no
"Mar Mikhael, Beirut, Beirut",170000,80,2,1,no
"Down Town, Beirut, Beirut",1990000,450,4,6,no
"Brazilia, Baabda, Mount Lebanon",550000,300,3,3,no
"Mar Elias, Beirut, Beirut",160000,132,2,2,no
"Achrafieh, Beirut, Beirut",370000,115,1,1,no
"Ain al-Mraiseh, Beirut, Beirut",480000,200,3,4,no
"Ramlet al-Baydah, Beirut, Beirut",900000,420,4,6,no
"Mar Elias, Beirut, Beirut",450000,188,3,4,no
"Bentael, Jbeil, Mount Lebanon",1000000,26000,N/A,N/A,no
"Bir Hassan, Beirut, Beirut",480000,310,4,5,no
"Hadath, Baabda, Mount Lebanon",290000,170,3,3,no
"Brazilia, Baabda, Mount Lebanon",760000,350,3,4,no
"Hadath, Baabda, Mount Lebanon",300000,200,3,3,no
"Furn El Chebbak, Baabda, Mount Lebanon",400000,160,3,3,no
"Badaro, Beirut, Beirut",350000,170,3,3,no
"Kfarhbab, Kesrouane, Mount Lebanon",500,180,3,2,no
"Ouyoun Broummana, El Metn, Mount Lebanon",700000,2100,N/A,N/A,no
"Louaizeh, Baabda, Mount Lebanon",980000,400,3,5,no
"Qartaboun, Jbeil, Mount Lebanon",170000,172,3,3,no
"Kfarhbab, Kesrouane, Mount Lebanon",400000,225,3,3,no
"Badaro, Beirut, Beirut",650000,240,3,5,no
"Ain al-Mraiseh, Beirut, Beirut",850000,225,3,3,no
"Al Zarif, Beirut, Beirut",350000,350,4,5,yes
"Clemenceau, Beirut, Beirut",550000,200,3,2,no
"Burj Abi Haidar, Beirut, Beirut",1100000,228,N/A,N/A,no
"Beit Meri, El Metn, Mount Lebanon",500000,240,3,4,no
"Brazilia, Baabda, Mount Lebanon",1020000,451,3,4,no
"Louaizeh, Baabda, Mount Lebanon",320000,180,3,3,no
"Qennabet Broummana, El Metn, Mount Lebanon",269999,180,3,4,no
"Aatchane, El Metn, Mount Lebanon",109999,160,3,2,no
"Sahel Alma, Kesrouane, Mount Lebanon",350000,400,3,3,no
"Achrafieh, Beirut, Beirut",449999,165,3,4,no
"Dbayeh, El Metn, Mount Lebanon",950000,435,3,4,yes
"Jeita, Kesrouane, Mount Lebanon",390000,400,4,5,no
"Louaizeh, Baabda, Mount Lebanon",320000,200,3,3,no
"Louaizeh, Baabda, Mount Lebanon",310000,180,3,3,no
"Louaizeh, Baabda, Mount Lebanon",300000,180,3,3,no
"Ballouneh, Kesrouane, Mount Lebanon",160000,150,3,2,yes
"Kfarhbab, Kesrouane, Mount Lebanon",190000,140,2,3,no
"Achrafieh, Beirut, Beirut",508000,160,3,4,no
"Ain al-Mraiseh, Beirut, Beirut",4099999,950,5,7,no
"Achrafieh, Beirut, Beirut",500000,157,2,3,no
"Antelias, El Metn, Mount Lebanon",150000,180,3,2,no
"Kornet Chehwan, El Metn, Mount Lebanon",320000,220,3,5,no
"Ajaltoun, Kesrouane, Mount Lebanon",245000,180,3,3,yes
"Down Town, Beirut, Beirut",2600000,570,4,6,no
"Zouk Mosbeh, Kesrouane, Mount Lebanon",164999,180,3,4,no
"Faitroun, Kesrouane, Mount Lebanon",569999,300,3,4,yes
"Achrafieh, Beirut, Beirut",1100000,300,3,4,no
"Ajaltoun, Kesrouane, Mount Lebanon",99999,110,2,2,yes
"Fanar, El Metn, Mount Lebanon",249999,185,3,2,yes
"Achrafieh, Beirut, Beirut",599999,225,3,4,no
"Achrafieh, Beirut, Beirut",399999,120,2,2,yes
"Kaslik, Kesrouane, Mount Lebanon",249999,60,1,1,yes
"Zouk Mikael, Kesrouane, Mount Lebanon",164999,130,3,2,yes
"Achrafieh, Beirut, Beirut",499999,230,3,4,no
"Kaslik, Kesrouane, Mount Lebanon",249999,50,1,1,yes
"Achrafieh, Beirut, Beirut",875000,271,4,4,no
"Achrafieh, Beirut, Beirut",375000,335,4,3,no
"Airport area, Beirut, Beirut",666250,300,3,2,no
"Ain Aalaq, El Metn, Mount Lebanon",370000,741,N/A,N/A,no
"Naqqache, El Metn, Mount Lebanon",250000,165,3,4,no
"Kornet Chehwan, El Metn, Mount Lebanon",520000,250,4,5,no
"Kfarhbab, Kesrouane, Mount Lebanon",900000,809,4,7,no
"Kfarhbab, Kesrouane, Mount Lebanon",280000,165,3,3,no
"Elissar, El Metn, Mount Lebanon",310000,175,3,3,no
"Sin El Fil, El Metn, Mount Lebanon",240000,150,3,4,no
"Arsoun, Baabda, Mount Lebanon",650000,5400,N/A,N/A,no
"Ehmez, Kesrouane, Mount Lebanon",90000,2140,N/A,N/A,no
"Sarba (Kesrouane), Kesrouane, Mount Lebanon",180000,145,3,2,no
"Ghadir, Kesrouane, Mount Lebanon",240000,240,3,5,no
"Antelias, El Metn, Mount Lebanon",194999,160,3,2,yes
"Antelias, El Metn, Mount Lebanon",584999,281,3,5,no
"Ras El Nabeh, Beirut, Beirut",450000,150,3,2,yes
"Rabweh, El Metn, Mount Lebanon",524999,525,3,4,no
"Bekaatat Achkout, Kesrouane, Mount Lebanon",179999,1170,N/A,N/A,no
"Mar Elias, Beirut, Beirut",250000,175,3,2,no
"Broummana, El Metn, Mount Lebanon",294999,170,2,4,no
"Kfarhbab, Kesrouane, Mount Lebanon",400000,350,2,4,no
"Bekaatat Achkout, Kesrouane, Mount Lebanon",169999,1080,N/A,N/A,no
"Sarba (Kesrouane), Kesrouane, Mount Lebanon",434000,310,2,2,no
"Achrafieh, Beirut, Beirut",850000,330,3,3,yes
"Jnah, Beirut, Beirut",600000,300,3,4,no
"Monot, Beirut, Beirut",1600000,415,5,4,no
"abed al-wahab inglizi, Beirut, Beirut",800000,210,2,3,yes
"Gemayzeh, Beirut, Beirut",1550000,250,3,3,no
"Zikrit, El Metn, Mount Lebanon",195000,175,3,3,no
"Tabaris, Beirut, Beirut",700000,277,2,3,no
"Sasine, Beirut, Beirut",300000,100,1,2,yes
"Zikrit, El Metn, Mount Lebanon",120000,115,2,2,no
"Sarba (Kesrouane), Kesrouane, Mount Lebanon",145000,220,3,2,no
"Sarba (Kesrouane), Kesrouane, Mount Lebanon",100000,100,2,2,no
"Horch Tabet, El Metn, Mount Lebanon",1250000,330,3,5,yes
"Hadath, Baabda, Mount Lebanon",370000,167,3,4,yes
"Horch Tabet, El Metn, Mount Lebanon",300000,225,3,3,no
"Boutchay, Baabda, Mount Lebanon",210000,185,2,2,no
"Bekaatat Achkout, Kesrouane, Mount Lebanon",144999,920,N/A,N/A,no
"Zouk Mosbeh, Kesrouane, Mount Lebanon",102999,80,2,2,no
"Naqqache, El Metn, Mount Lebanon",209999,180,3,3,no
"Baabdat, El Metn, Mount Lebanon",600,180,3,3,yes
"Ouyoun Broummana, El Metn, Mount Lebanon",160000,110,2,2,no
"Mar Elias, Beirut, Beirut",550000,300,3,4,yes
"Hamat, Batroun, North",225000,3636,N/A,N/A,no
"Jnah, Beirut, Beirut",900000,400,4,5,no
"Ain Aar, El Metn, Mount Lebanon",150000,115,2,2,no
"Zalka, El Metn, Mount Lebanon",130000,120,2,2,yes
"Antelias, El Metn, Mount Lebanon",150000,200,3,3,yes
"Achrafieh, Beirut, Beirut",760000,270,4,4,no
"Hamra, Beirut, Beirut",650000,230,3,4,yes
"Zalka, El Metn, Mount Lebanon",118000,162,3,2,no
"Zikrit, El Metn, Mount Lebanon",145000,111,2,2,no
"Achrafieh, Beirut, Beirut",169999,107,2,2,no
"Tabarja, Kesrouane, Mount Lebanon",999999,500,5,7,no
"Adonis, Kesrouane, Mount Lebanon",200000,200,2,4,no
"Mansourieh, El Metn, Mount Lebanon",199999,170,3,3,yes
"Down Town, Beirut, Beirut",1300000,135,1,2,no
"Sahel Alma, Kesrouane, Mount Lebanon",450000,530,6,8,no
"Blat, Jbeil, Mount Lebanon",185000,190,3,3,no
"Baabda, Baabda, Mount Lebanon",530000,225,3,3,no
"Baabda, Baabda, Mount Lebanon",650000,275,3,3,no
"Hamra, Beirut, Beirut",350000,247,4,2,no
"Antelias, El Metn, Mount Lebanon",850000,400,N/A,N/A,no
"Ain al-Mraiseh, Beirut, Beirut",900000,417,4,4,no
"Kornet Chehwan, El Metn, Mount Lebanon",1950000,800,4,5,yes
"Jisr El Bacha, El Metn, Mount Lebanon",1625000,509,N/A,N/A,no
"Brazilia, Baabda, Mount Lebanon",1170000,420,4,5,no
"Broummana, El Metn, Mount Lebanon",449999,200,3,4,no
"Baabda, Baabda, Mount Lebanon",1110000,400,4,5,no
"Baabda, Baabda, Mount Lebanon",580000,245,3,3,no
"Dbayeh Waterfront, El Metn, Mount Lebanon",700000,137,2,4,partly
"Douar, El Metn, Mount Lebanon",110000,120,2,2,no
"Aaoukar, El Metn, Mount Lebanon",195000,140,3,3,no
"Baabdat, El Metn, Mount Lebanon",107000,155,3,2,no
"Sin El Fil, El Metn, Mount Lebanon",139000,110,2,2,no
"Dekwaneh, El Metn, Mount Lebanon",165000,137,2,3,no
"Tilal Ain Saade, El Metn, Mount Lebanon",175000,147,3,3,no
"Mansourieh, El Metn, Mount Lebanon",250000,225,3,4,no
"Jal el Dib, El Metn, Mount Lebanon",139000,120,2,2,no
"Hadath, Baabda, Mount Lebanon",180000,160,3,3,no
"Mansourieh, El Metn, Mount Lebanon",289999,150,3,3,no
"New Rawda, El Metn, Mount Lebanon",109999,125,2,2,no
"Achrafieh, Beirut, Beirut",1999999,250,3,4,yes
