Address,Price $,Size m²,Bedrooms,Bathrooms,Furnished
"Aamchit, Jbeil, Mount Lebanon",150000,230,3,2,no
"Blat, Jbeil, Mount Lebanon",96000,120,2,2,no
"Blat, Jbeil, Mount Lebanon",113000,142,2,2,no
"Mansourieh, El Metn, Mount Lebanon",195000,190,3,3,no
"Azra, Kesrouane, Mount Lebanon",440000,470,4,4,no
"Zalka, El Metn, Mount Lebanon",155000,157,3,2,no
"Zouk Mosbeh, Kesrouane, Mount Lebanon",105000,150,3,2,no
"Tabarja, Kesrouane, Mount Lebanon",125000,60,1,1,yes
"Blat, Jbeil, Mount Lebanon",129000,125,2,4,yes
"Tabarja, Kesrouane, Mount Lebanon",190000,195,2,2,no
"Adma, Kesrouane, Mount Lebanon",380000,185,3,2,no
"Kfarhbab, Kesrouane, Mount Lebanon",330000,225,3,3,no
"Blat, Jbeil, Mount Lebanon",138000,125,2,3,no
"Down Town, Beirut, Beirut",2850000,450,4,6,yes
"Achrafieh, Beirut, Beirut",2190000,440,4,5,no
"Achrafieh, Beirut, Beirut",825000,265,3,5,yes
"Achrafieh, Beirut, Beirut",750000,260,3,4,no
"Saifi, Beirut, Beirut",590000,135,2,2,yes
"Achrafieh, Beirut, Beirut",6300000,790,4,6,no
"Fanar, El Metn, Mount Lebanon",180000,130,2,2,no
"Achrafieh, Beirut, Beirut",1200000,370,3,5,yes
"Roumieh, El Metn, Mount Lebanon",250000,740,N/A,N/A,no
"Achrafieh, Beirut, Beirut",1590000,340,3,4,no
"Achrafieh, Beirut, Beirut",499000,200,3,4,yes
"Achrafieh, Beirut, Beirut",2800000,400,3,4,partly
"Achrafieh, Beirut, Beirut",1490000,450,5,6,no
"Jamhour, Baabda, Mount Lebanon",550000,210,3,3,yes
"Baabda, Baabda, Mount Lebanon",145000,120,2,2,no
"Biaqout, El Metn, Mount Lebanon",310000,220,3,4,no
"Down Town, Beirut, Beirut",3500000,435,2,4,yes
"Naqqache, El Metn, Mount Lebanon",220000,145,3,4,no
"Hazmieh, Baabda, Mount Lebanon",1250000,570,4,5,no
"Kfardebian, Kesrouane, Mount Lebanon",1650000,6230,N/A,N/A,no
"Naqqache, El Metn, Mount Lebanon",165000,110,3,2,no
"Achrafieh, Beirut, Beirut",1200000,320,4,5,yes
"Beit el Chaar, El Metn, Mount Lebanon",230000,190,4,3,no
"Jamhour, Baabda, Mount Lebanon",360000,180,3,4,no
